kingdom	phylum	ERR1352903	ERR1352904	ERR1352905	ERR1352906	ERR1352907	ERR1352908	ERR1352909	ERR1352910	ERR1352911	ERR1352912	ERR1352913	ERR1352914	ERR1352915	ERR1352916	ERR1352917	ERR1352918	ERR1352919	ERR1352920	ERR1352921	ERR1352922	ERR1352923	ERR1352924	ERR1352925	ERR1352926	ERR1352927	ERR1352928	ERR1352929	ERR1352930	ERR1352931	ERR1352932	ERR1352933	ERR1352934	ERR1352935	ERR1352936	ERR1352937	ERR1352938	ERR1352939	ERR1352940	ERR1352941	ERR1352942	ERR1352943	ERR1352944	ERR1352945	ERR1352946	ERR1352947	ERR1352948	ERR1352949	ERR1352950	ERR1352951	ERR1352952	ERR1352953	ERR1352954	ERR1352955	ERR1352956	ERR1352957	ERR1352958	ERR1352959	ERR1352960	ERR1352961	ERR1352962
Archaea	Crenarchaeota	0	3	0	5	0	14	0	1	0	3	1	1	0	0	0	0	0	6	0	4	1	0	0	1	0	1	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	1	0	2	0	0	0	0	1	0	0	0	3	14	0	0	0	0	0	0
Archaea	Euryarchaeota	3	81	9	229	4	3977	0	11	0	58	3	43	5	73	0	20	2	840	1	11	15	167	3	23	7	42	3	18	3	29	2	7	9	74	3	4	1	24	18	1195	2	6	4	25	5	63	3	23	41	360	11	144	212	3877	25	69	1	12	7	27
Archaea	Parvarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	3	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Bacteria	AC1	0	2	0	1	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Bacteria	AD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Acidobacteria	71	323	99	500	93	149	67	42	59	129	94	77	3	5	174	944	183	320	260	181	191	229	133	171	425	90	25	257	117	147	38	47	46	263	325	87	139	111	74	112	114	19	7	16	135	150	63	95	216	342	209	188	33	38	195	74	7	6	56	33
Bacteria	Actinobacteria	517	18835	1312	10167	2060	3894	1016	1097	552	15438	564	1015	117	848	238	1960	241	1813	905	3328	1527	2674	1190	3299	2101	1725	745	4689	878	2829	414	1941	346	47560	1154	1760	1073	2336	504	4380	1243	918	247	899	1048	1621	334	3015	785	1836	1057	2074	260	1698	938	902	1043	1122	279	1122
Bacteria	Aquificae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria	Armatimonadetes	2	68	14	93	6	25	1	7	5	27	5	9	173	182	20	115	18	32	32	44	9	26	8	17	29	10	0	12	4	8	6	5	11	52	29	12	13	14	8	25	6	2	0	5	15	8	0	6	15	25	9	21	12	1	6	7	1	3	5	3
Bacteria	BHI80-139	0	1	1	2	18	6	0	0	0	1	2	0	4	0	1	0	9	12	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	29	27	0	0	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	1	0	0	1	1
