sample_id,dropped_analysis_id
ERS1107870,ERR1352951
ERS1107871,ERR1352954
ERS1107872,ERR1352955
ERS1107873,ERR1352957
ERS1107874,ERR1352960
ERS1107875,ERR1352962
ERS1107846,ERR1352903
ERS1107847,ERR1352906
ERS1107848,ERR1352908
ERS1107849,ERR1352910
ERS1107860,ERR1352932
ERS1107861,ERR1352934
ERS1107862,ERR1352936
ERS1107863,ERR1352938
ERS1107864,ERR1352939
ERS1107865,ERR1352941
ERS1107866,ERR1352943
ERS1107867,ERR1352946
ERS1107850,ERR1352912
ERS1107851,ERR1352913
ERS1107858,ERR1352928
ERS1107859,ERR1352929
ERS1107868,ERR1352948
ERS1107869,ERR1352949
ERS1107852,ERR1352915
ERS1107853,ERR1352918
ERS1107854,ERR1352920
ERS1107855,ERR1352921
ERS1107856,ERR1352923
ERS1107857,ERR1352925
