kingdom,phylum,ERR1352952,ERR1352953,ERR1352956,ERR1352957,ERR1352960,ERR1352962,ERR1352903,ERR1352905,ERR1352907,ERR1352909,ERR1352932,ERR1352933,ERR1352935,ERR1352938,ERR1352939,ERR1352941,ERR1352944,ERR1352946,ERR1352912,ERR1352913,ERR1352927,ERR1352930,ERR1352948,ERR1352950,ERR1352916,ERR1352918,ERR1352920,ERR1352921,ERR1352924,ERR1352926
Archaea,Crenarchaeota,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,1,0,0,0,0,0,0,6,0,0,1
Archaea,Euryarchaeota,360,11,3877,25,12,27,3,9,4,0,29,2,9,4,1,18,6,25,58,3,7,18,63,23,73,20,840,1,167,23
Archaea,Parvarchaeota,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,4
Bacteria,Acidobacteria,342,209,38,195,6,33,71,99,93,67,147,38,46,87,139,74,19,16,129,94,425,257,150,95,5,944,320,260,229,171
Bacteria,Actinobacteria,1836,1057,1698,938,1122,1122,517,1312,2060,1016,2829,414,346,1760,1073,504,918,899,15438,564,2101,4689,1621,3015,848,1960,1813,905,2674,3299
Bacteria,Aquificae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Armatimonadetes,25,9,1,6,3,3,2,14,6,1,8,6,11,12,13,8,2,5,27,5,29,12,8,6,182,115,32,32,26,17
Bacteria,Bacteroidetes,3776,1388,766,2387,1328,619,709,2252,758,1427,894,807,423,558,1534,1018,324,1398,1476,1011,2201,3043,742,658,926,2045,1455,1983,1618,1359
Bacteria,Caldiserica,0,0,46,3,0,0,1,0,1,4,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1,0,0,3,0
Bacteria,Caldithrix,7,1,0,1,0,0,0,0,0,1,2,0,0,1,0,1,0,1,1,3,0,8,5,7,0,3,9,1,9,0
Bacteria,Chlamydiae,66,50,0,27,0,2,31,9,5,31,42,21,5,0,7,8,16,0,11,13,22,8,14,13,0,20,7,23,15,10
Bacteria,Chlorobi,141,68,25,60,1,19,35,50,190,36,59,32,48,23,102,55,20,8,39,57,223,73,20,33,103,706,29,104,74,123
Bacteria,Chloroflexi,362,431,1222,654,72,140,57,202,893,193,96,56,93,165,340,102,63,266,283,93,1566,362,146,139,111,182,802,215,338,537
Bacteria,Cyanobacteria,849,180,26,190,21,190,210,157,498,138,191,571,42,127,166,373,39,281,238,93,304,156,259,196,8,441,320,61,109,728
Bacteria,Deferribacteres,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bacteria,Elusimicrobia,0,1,0,1,0,0,0,0,0,2,0,2,3,4,2,0,0,1,5,2,15,0,1,0,0,2,1,3,8,2
Bacteria,Fibrobacteres,6,0,82,2,29,16,1,0,2,1,15,1,0,20,0,1,1,23,6,0,2,25,3,8,1,6,2,0,8,6
Bacteria,Firmicutes,13055,561,20558,742,3964,4352,367,360,236,377,40938,556,198,5470,1146,412,2072,6607,8107,514,585,78382,5667,8095,2622,11655,3332,540,14197,15826
Bacteria,Fusobacteria,10,14,24,41,23,15,39,4,30,16,10,13,0,30,27,13,21,33,66,8,19,34,21,26,25,18,12,29,39,61
Bacteria,Gemmatimonadetes,12,12,14,41,1,10,7,32,6,54,25,30,13,6,53,41,8,1,24,16,81,47,15,12,0,8,48,75,43,20
Bacteria,Lentisphaerae,0,1,8,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bacteria,Nitrospirae,210,46,11,181,5,38,9,16,4,34,60,8,28,159,102,24,37,10,171,31,189,43,116,152,2,26,436,80,505,70
Bacteria,Planctomycetes,408,223,51,223,11,35,97,95,82,120,98,77,66,153,348,126,44,15,89,77,229,83,86,110,69,319,421,479,222,140
Bacteria,Proteobacteria,806252,9510,617119,11649,400305,305909,4081,11304,10126,3818,1239105,5642,3105,421882,8307,4605,353279,287811,522733,4140,7167,1939820,455640,478985,336369,536162,384516,8999,1074207,568744
Bacteria,Spirochaetes,2053,987,920,773,5,688,1277,2613,2988,1796,2006,454,255,149,1629,2560,10,5,1350,365,427,170,192,1138,12,73,1373,243,65,637
Bacteria,Synergistetes,1,2,129,4,1,1,0,1,0,0,3,0,1,2,2,2,0,5,2,2,1,1,0,0,8,0,2,0,4,0
Bacteria,Tenericutes,25,3,13,4,10,9,0,1,3,3,29,2,0,9,23,5,12,9,12,3,12,37,16,8,8,10,4,10,20,15
Bacteria,Thermi,1990,1,32,3,18,104,2,2,0,1,21,2,0,9,2,1,4,32,80,1,0,12,7,67,148,13,16,1,28,8
Bacteria,Thermotogae,1,7,317,4,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0
Bacteria,Verrucomicrobia,310,117,910,218,43,63,72,325,144,96,59,64,51,40,165,69,36,60,189,81,300,188,90,49,12,400,118,177,130,134
