#SampleID	ERR1356692	ERR1356693	ERR1356694	ERR1356695	ERR1356696	ERR1356697	ERR1356698	ERR1356699	ERR1356700	ERR1356701	ERR1356702	ERR1356703	ERR1356704	ERR1356705	ERR1356706	ERR1356707	ERR1356708	ERR1356709	ERR1356710	ERR1356711	ERR1356712	ERR1356713	ERR1356714	ERR1356715	ERR1356716	ERR1356717	ERR1356718	ERR1356719	ERR1356720	ERR1356721	ERR1356722	ERR1356723	ERR1356724	ERR1356725	ERR1356726	ERR1356727	ERR1356728	ERR1356729	ERR1356730	ERR1356731	ERR1356732	ERR1356733	ERR1356734	ERR1356735	ERR1356736	ERR1356737	ERR1356738	ERR1356739	ERR1356740	ERR1356741	ERR1356742	ERR1356743	ERR1356744	ERR1356745	ERR1356746	ERR1356747	ERR1356748	ERR1356749	ERR1356750	ERR1356751	ERR1356752	ERR1356753	ERR1356754	ERR1356755	ERR1356756	ERR1356757	ERR1356758	ERR1356759	ERR1356760	ERR1356761	ERR1356762	ERR1356763
Root	1912	371649	6623	227496	2734	167841	2761	142274	2345	129840	7352	101802	3242	187084	2323	24623	2540	121408	3715	30152	3199	50697	3044	21381	2154	42398	4967	17766	2271	63928	3779	33101	2258	53279	2192	93762	6477	48970	2193	101036	2403	99588	2833	63097	2796	71437	2083	21565	2421	96701	2418	82485	2063	36777	6350	80188	2431	34909	2627	176221	2338	75843	2660	61362	2983	19211	2451	70248	2990	46373	2950	68094
Root;k__Archaea;p__Crenarchaeota;c__MBGB;o__;f__;g__;s__	0	12	0	0	0	8	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
Root;k__Archaea;p__Crenarchaeota;c__MCG;o__pGrfC26;f__;g__;s__	0	10	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	0	0	0	0	0	0
Root;k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__SAGMA-X;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__CandidatusNitrososphaera;s__	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__CandidatusNitrososphaera;s__SCA1145	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Root;k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__CandidatusNitrososphaera;s__SCA1170	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__;f__;g__;s__	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haloferax;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	0	26	3	5	0	4	0	16	1	7	0	0	0	0	1	0	1	4	0	3	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	3	1	0	2	7	15	6	7	0	0	0	0	0	1	2	2	1	0	1	0	0	0	0	6	0	0	0	0	9	14	2	3	0	0	2	2
Root;k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__beijingense	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Root;k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__bryantii	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	2	45	1	16	0	31	0	24	2	9	3	6	2	9	1	0	0	3	0	2	0	0	0	0	2	9	3	1	3	8	1	1	0	2	0	7	5	5	0	7	2	2	4	4	1	5	0	8	1	16	4	10	0	4	5	8	1	2	3	19	2	2	0	10	3	13	1	7	0	0	2	10
Root;k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__arboriphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__thermautotrophicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__WSA2;g__;s__	0	82	1	20	0	6	0	75	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	8	0	0	0	5	0	0	0	3	0	0	0	0	0	0	1	9	0	0	0	0	0	0	2	5	0	0	0	1	0	0	0	1	0	4	1	6	0	1	13	74	0	3	0	0	0	3
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__;g__;s__	0	819	0	185	0	52	0	758	0	0	0	0	0	0	1	3	3	55	1	1	0	0	0	0	0	29	0	0	5	110	0	1	0	2	0	0	2	24	0	0	0	48	1	23	0	0	0	0	0	31	0	6	0	0	2	7	1	13	0	106	4	85	0	6	109	710	2	38	0	0	0	61
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__;s__	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__;s__	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__	0	32	0	2	0	6	1	20	1	10	0	1	0	3	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1	0	5	0	0	0	0	3	1	0	1	0	0	0	0	0	1	0	4	0	0	0	2	4	10	0	9	0	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__bourgensis	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
