kingdom,phylum,ERR1356697,ERR1356700,ERR1356705,ERR1356734,ERR1356739,ERR1356743,ERR1356694,ERR1356698,ERR1356736,ERR1356744,ERR1356749,ERR1356750,ERR1356693,ERR1356710,ERR1356712,ERR1356716,ERR1356752,ERR1356714,ERR1356719,ERR1356721,ERR1356723,ERR1356724,ERR1356728,ERR1356727,ERR1356730,ERR1356732,ERR1356761,ERR1356762,ERR1356703,ERR1356706,ERR1356740,ERR1356755,ERR1356757,ERR1356759,ERR1356709,ERR1356746
Archaea,Crenarchaeota,8,0,0,0,0,0,0,0,0,0,0,2,33,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,29,2,0,0
Archaea,Euryarchaeota,822,4,72,15,28,37,18,1,1,3,30,9,2254,2,0,5,20,25,2,166,11,1,20,47,0,14,7,8,47,3,19,33,1865,127,141,17
Archaea,Parvarchaeota,24,1,8,0,0,3,1,0,0,0,5,0,18,0,0,2,2,0,1,22,1,3,3,0,0,1,0,1,3,1,0,1,2,3,4,0
Bacteria,Acidobacteria,519,99,237,55,148,245,127,89,191,9,180,124,1558,8,150,162,113,83,71,303,102,264,335,144,162,111,51,64,144,195,120,532,321,806,53,154
Bacteria,Actinobacteria,2915,332,1061,882,625,1125,1173,688,408,341,406,549,8851,97,296,483,299,386,382,770,881,433,995,849,835,503,973,405,1109,349,751,1285,1407,2684,1341,1159
Bacteria,Armatimonadetes,50,5,56,9,13,12,6,1,28,4,16,9,172,73,41,14,8,42,8,19,3,10,14,3,6,35,13,6,5,12,20,59,89,34,9,10
Bacteria,Bacteroidetes,3193,1297,1890,1541,1196,1233,3509,895,1234,1866,840,1583,11720,1835,1257,1068,1363,1025,513,1163,1082,1031,2874,1885,1173,768,1900,1514,809,870,1389,3415,2187,4369,414,3046
Bacteria,Caldiserica,8,0,1,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,6,0,194,3,0,4
Bacteria,Caldithrix,5,0,4,1,0,2,0,1,0,0,0,1,21,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,9,11,5,1,1
Bacteria,Chlamydiae,4,8,6,2,2,9,11,0,5,0,3,0,22,0,4,11,10,9,3,9,5,1,49,1,8,4,0,2,5,6,3,8,4,10,0,10
Bacteria,Chlorobi,103,37,50,40,7,178,25,135,24,9,21,18,276,1287,56,26,27,145,5,31,107,116,112,14,44,34,6,39,10,29,33,59,35,98,24,20
Bacteria,Chloroflexi,839,202,517,62,228,322,557,779,278,18,296,269,6259,366,130,398,201,118,40,199,395,408,194,63,55,101,44,292,134,372,166,1010,2522,2220,67,474
Bacteria,Cyanobacteria,170,19,64,4,29,79,38,34,28,7,50,35,432,5,17,35,41,9,8,84,25,38,94,27,58,20,20,14,1607,30,47,129,62,217,22,32
Bacteria,Deferribacteres,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Elusimicrobia,2,2,1,1,1,1,0,1,5,0,1,3,5,0,0,0,2,0,0,4,2,23,2,0,1,6,0,1,0,3,3,9,0,0,0,0
Bacteria,Fibrobacteres,41,1,5,0,10,37,2,2,33,32,3,1,340,5,0,0,1,0,1,6,4,2,6,18,1,1,43,14,5,0,0,4,103,50,2,0
Bacteria,Firmicutes,57410,417,1800,537,23710,81737,934,375,233,942,24539,537,279879,276,22,195,335,92,612,6308,6722,184,1098,40696,529,286,37212,633,1909,300,430,7235,66134,113289,1439,938
Bacteria,Fusobacteria,53,24,24,28,11,34,11,23,7,195,24,12,298,0,0,8,0,0,7,19,15,6,5,17,9,1,22,50,17,16,8,41,24,96,12,44
Bacteria,Gemmatimonadetes,121,51,60,23,39,54,88,15,39,0,27,66,313,17,6,54,39,115,17,68,15,60,183,32,39,43,6,39,10,60,101,73,35,183,10,61
Bacteria,Lentisphaerae,2,1,0,1,0,0,4,0,0,2,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0
Bacteria,Nitrospirae,988,64,606,64,226,794,44,8,317,13,396,57,4514,0,1,56,45,0,60,715,43,86,82,11,28,73,2,8,9,86,66,1717,139,3915,126,46
Bacteria,Planctomycetes,474,77,185,83,250,255,220,52,560,21,148,161,1177,209,427,244,151,631,91,159,99,141,672,67,149,185,38,82,57,167,194,460,269,518,48,375
Bacteria,Proteobacteria,642434,3427,168004,6096,134619,373011,8755,3090,2374,3852,183818,4143,2046108,5127,2727,2712,3849,3012,156611,410493,130994,3300,9123,245440,4917,3378,194954,3627,246840,2943,3992,235826,386829,295352,239738,8380
Bacteria,Spirochaetes,576,535,431,193,75,17,582,302,35,5,215,108,2362,22,11,210,98,10,36,83,29,26,446,42,78,115,11,74,120,202,230,245,1234,537,34,282
Bacteria,Synergistetes,2,2,4,1,0,3,6,3,0,3,0,2,389,4,0,2,4,1,0,7,0,0,3,2,3,1,0,2,0,0,1,2,380,7,3,1
Bacteria,Tenericutes,17,9,0,6,7,10,20,4,2,13,3,4,63,76,0,6,3,10,5,6,3,6,17,11,9,4,3,5,9,7,8,8,6,18,6,6
Bacteria,Thermi,75,0,7,1,1,7,4,0,1,0,6,0,129,106,0,6,0,33,19,22,267,0,0,74,2,0,36,0,53,1,0,478,28,15,7,2
Bacteria,Thermotogae,16,2,3,0,0,0,16,0,0,0,0,1,643,3,0,0,4,0,0,3,0,0,2,0,0,0,0,1,0,0,6,0,644,2,1,3
Bacteria,Verrucomicrobia,237,171,205,127,56,231,460,152,178,34,55,131,1592,49,338,90,130,65,36,94,102,177,464,139,147,163,47,132,68,111,113,277,590,580,28,264
