kingdom,phylum,ERR1467141,ERR1467142,ERR1467143,ERR1467144,ERR1467145,ERR1467146,ERR1467147,ERR1467148,ERR1467149,ERR1467150,ERR1467151,ERR1467152,ERR1467153,ERR1467154,ERR1467155,ERR1470822,ERR1470823,ERR1470824,ERR1470825,ERR1470826,ERR1470827,ERR1470828,ERR1470829,ERR1470830,ERR1512984,ERR1512985,ERR1512986,ERR1512987,ERR1512988,ERR1512989,ERR1512990,ERR1512991,ERR1512992,ERR1512993,ERR1512994,ERR1512995,ERR1512996,ERR1512997,ERR1512998,ERR1512999,ERR1513000,ERR1513001,ERR1513002,ERR1513003,ERR1513004,ERR1513005,ERR1513006,ERR1513007,ERR1514427,ERR1514428,ERR1514429,ERR1514430,ERR1525434,ERR1525435,ERR1525436,ERR1525437,ERR1525438,ERR1525439,ERR1525440,ERR1525441,ERR1525442,ERR1525443,ERR1525444,ERR1525445,ERR1525446
Archaea,Euryarchaeota,11,3,3,7,4,1,3,2,4,7,3,1,5,3,2,2,6,6,7,5,10,5,3,7,3,6,1,0,27,0,3,6,5,4,3,3,4,5,1,0,0,0,14,1,5,8,3,6,8,9,3,1,1,0,1,0,6,13,4,4,1,1,0,5,3
Archaea,Parvarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bacteria,Acidobacteria,3,0,2,0,0,0,0,1,0,1,0,1,2,0,1,1,0,1,1,0,0,2,0,0,0,1,2,0,3,0,1,0,0,1,0,0,2,1,3,0,0,0,0,0,1,0,1,8,1,0,0,4,0,1,0,0,0,2,3,0,0,0,0,3,1
Bacteria,Actinobacteria,54,120,110,109,233,75,162,88,153,78,106,218,82,83,26,202,181,100,102,178,92,60,63,110,125,67,62,73,24,0,59,44,50,120,48,23,42,98,48,0,0,0,87,33,93,155,98,80,144,103,143,29,21,20,56,9,41,28,97,19,23,78,37,68,50
Bacteria,Armatimonadetes,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,4,0,0,3,0,0,0,0,0,0,0,0,1,0
Bacteria,Bacteroidetes,643,211,564,330,244,298,356,401,421,378,336,220,174,114,706,332,330,411,331,326,1127,565,389,695,245,288,399,266,505,1,266,328,262,239,323,149,273,226,195,0,0,0,478,234,340,303,352,252,205,315,298,1700,117,167,218,193,244,252,238,129,176,1015,633,658,365
Bacteria,Caldiserica,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bacteria,Caldithrix,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Chlamydiae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
Bacteria,Chlorobi,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,11,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,3,0,0,0,0,0,2,0
