Kingdom,Phylum,Class,Order,Family,Genus,Species,SRR2107177,SRR2107213,SRR2107179,SRR2107211,SRR2107184,SRR2107215,SRR2107219,SRR2107180,SRR2107183
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,,0,2,0,1,0,1,1,0,0
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,arboriphilus,0,1,0,3,0,11,0,0,0
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,,0,0,0,0,0,0,0,0,0
Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea,,0,0,0,1,0,2,0,0,0
Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,,0,2,0,0,0,0,1,0,0
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta,,0,3,0,3,0,8,1,0,0
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanimicrococcus,blatticola,0,0,0,0,0,1,0,0,0
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,mazei,0,1,0,0,0,1,0,0,0
Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix,,0,1,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Iamia,,0,1,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum,,0,0,0,0,0,1,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,,0,0,0,2,2,7,7,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,,0,0,0,1,0,1,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Bogoriella,caseolytica,0,0,1,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,,0,0,0,0,0,1,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,,1,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Saccharothrix,,0,0,0,0,0,1,1,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Beutenbergiaceae,Salana,multivorans,0,0,0,0,6,0,0,0,4
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Bogoriellaceae,Georgenia,,0,0,0,0,3,0,1,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium,caseipaucivorans,1,0,1,0,1,3,3,1,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Actinotalea,,0,0,6,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,,0,1,0,0,4,1,1,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Demequina,,1,0,0,1,1,1,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,variabile,2,8,0,7,11,7,5,0,6
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Brachybacterium,conglomeratum,0,0,0,1,0,0,1,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermacoccaceae,Dermacoccus,,0,0,0,0,0,0,1,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermatophilaceae,Dermatophilus,,0,0,0,1,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dietziaceae,Dietzia,,0,28,0,2,0,91,35,0,1
