kingdom,phylum,SRR2107177,SRR2107212,SRR2107178,SRR2107210,SRR2107184,SRR2107216,SRR2107219,SRR2107181,SRR2107183
Archaea,Euryarchaeota,0,4,2,4,0,36,4,0,0
Bacteria,Acidobacteria,506,38,90,120,92,31,12,336,73
Bacteria,Actinobacteria,473,320,61,935,2396,747,437,131,955
Bacteria,Armatimonadetes,5,5,7,32,5,4,3,31,2
Bacteria,Bacteroidetes,53,357,311,376,879,1575,1799,266,584
Bacteria,Caldiserica,2,0,0,0,0,1,0,0,0
Bacteria,Chlamydiae,8,7,0,13,1,0,1,2,2
Bacteria,Chlorobi,54,49,2,70,7,5,0,0,209
Bacteria,Chloroflexi,164,377,93,390,40,56,30,258,137
Bacteria,Cyanobacteria,0,7,11,2,0,1,1,23,4
Bacteria,Deferribacteres,1,0,0,0,0,0,0,0,0
Bacteria,Elusimicrobia,0,0,0,1,0,0,0,0,0
Bacteria,Fibrobacteres,0,1,0,0,0,0,1,0,0
Bacteria,Firmicutes,46,109,5,130,8,677,502,6,3
Bacteria,Fusobacteria,0,0,0,0,0,13,24,0,0
Bacteria,Gemmatimonadetes,5,5,18,8,61,2,1,22,0
Bacteria,Lentisphaerae,0,0,0,0,0,0,0,0,0
Bacteria,Nitrospirae,11,9,11,87,0,0,0,11,2
Bacteria,Planctomycetes,47,77,238,169,115,17,5,273,118
Bacteria,Proteobacteria,2630,1610,813,1391,2522,4919,4181,732,1801
Bacteria,Spirochaetes,0,8,0,1,1,7,1,0,0
Bacteria,Synergistetes,0,1,0,1,1,31,7,2,0
Bacteria,Tenericutes,1,2,0,0,0,7,5,0,1
Bacteria,Thermi,20,0,2,0,1,0,0,1,0
Bacteria,Thermotogae,0,0,0,0,0,0,0,1,0
Bacteria,Verrucomicrobia,4,59,442,52,45,87,92,598,14
