kingdom,phylum,ERR1713331,ERR1713332,ERR1713333,ERR1725946,ERR1725947,ERR1713336,ERR1725950,ERR1713338,ERR1713339,ERR1725955,ERR1713341,ERR1713342,ERR1725961,ERR1713344,ERR1713345,ERR1713346,ERR1713347,ERR1713348,ERR1713349,ERR1713350,ERR1713351,ERR1713352,ERR1713353,ERR1725970,ERR1713355,ERR1713356,ERR1713357,ERR1713358,ERR1713359,ERR1713360,ERR1713361,ERR1725978,ERR1725979,ERR1713364,ERR1713365,ERR1725984,ERR1713367,ERR1713368,ERR1713369,ERR1713370,ERR1713371,ERR1713372,ERR1713373,ERR1725989,ERR1725990,ERR1725993,ERR1725994,ERR1713378,ERR1725998,ERR1725999,ERR1713381,ERR1713382,ERR1726000,ERR1713384,ERR1713385,ERR1713386,ERR1713387,ERR1713388,ERR1726003,ERR1713390,ERR1713391,ERR1726006,ERR1713393,ERR1713394,ERR1713395,ERR1713396,ERR1713397,ERR1713398,ERR1726012,ERR1713400,ERR1713401,ERR1713402,ERR1726021,ERR1726024,ERR1713405,ERR1713406,ERR1713407,ERR1713408,ERR1726030,ERR1726031,ERR1726032
Archaea,Crenarchaeota,0,0,0,0,0,0,7,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,1,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Euryarchaeota,481,12,10,16,12,120,323,148,8,22,58,400,20,295,353,523,91,32,169,273,23,16,229,150,310,47,10,1235,195,35,36,80,25,53,12,309,82,60,494,650,39,47,49,44,72,9,26,604,234,4,958,18,36,209,134,398,102,103,27,752,38,18,4,110,2,17,807,158,67,132,171,70,89,9,318,109,11,149,22,73,99
Archaea,Parvarchaeota,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,7,8,2,29,15,8,306,16,5,2,0,28,31,802,20,22,45,10,21,37,12,7,25,53,18,22,3,216,6,1,17,85,3,8,12,3,164,20,23,302,3,19,6,4,5,5,18,23,147,5,11,19,0,32,13,9,39,10,13,22,12,3,0,18,5,1,190,13,80,11,6,11,4,0,36,67,10,11,0,13,42
Bacteria,Actinobacteria,1916,275,255,403,266,566,1016,1177,87,141,559,4647,616,656,1561,1266,1559,412,1465,3286,471,305,1074,2717,3523,1254,88,1066,824,589,159,1069,874,287,369,911,897,902,2055,1672,442,1322,420,342,663,242,1059,1756,420,189,11148,624,260,3202,791,2296,404,1101,542,1552,438,517,8,821,485,247,1604,2135,872,1261,1851,1006,359,123,2469,2778,145,1239,264,202,876
Bacteria,Aquificae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Armatimonadetes,0,0,0,3,2,1,13,7,1,3,6,3,5,43,7,0,8,1,5,6,0,0,1,7,1,3,0,47,0,4,1,2,1,1,5,0,31,4,0,4,2,4,6,0,1,7,1,2,15,0,0,2,3,9,0,2,26,1,5,1,2,2,0,27,0,0,11,1,34,3,3,0,0,0,9,4,3,2,0,0,1
Bacteria,Bacteroidetes,4907,4309,468,1759,9331,1925,7806,584,407,323,2064,3391,2191,12886,4417,2074,8122,674,8578,9702,1228,74021,1742,1557,2142,4437,10794,10457,368,2705,516,5744,5385,9339,11620,405,23133,22329,4899,595,945,5953,2644,2085,5489,3725,1375,1474,4772,8212,3781,43854,376,9482,5284,1708,2198,3540,3716,2696,1249,3867,186,45078,25509,3283,3127,2626,3151,1708,2461,1746,129,263,10828,2012,17679,4021,83,638,2711
Bacteria,Caldiserica,0,0,0,0,0,0,15,2,0,0,1,16,2,13,10,0,1,0,13,1,0,0,0,0,3,1,0,20,2,3,6,5,0,0,0,0,3,5,3,400,2,0,3,0,1,0,2,5,19,1,0,2,2,16,1,0,140,0,1,2,0,0,0,17,1,2,2,3,28,0,0,3,24,0,3,1,5,0,0,1,0
Bacteria,Caldithrix,0,0,0,0,0,0,2,0,0,0,0,3,2,6,1,1,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
