Kingdom,Phylum,Class,Order,Family,Genus,Species,ERR770579,ERR770580,ERR770581,ERR770582,ERR770583,ERR770584
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,bryantii,0,0,0,3,2,3
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,arboriphilus,0,1,1,126,97,90
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,,0,0,0,6,3,7
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,thermautotrophicus,1,0,0,2,2,1
Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,,0,0,0,0,0,1
Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,,0,0,0,0,0,1
Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoplanus,,0,0,0,0,0,1
Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea,,0,0,0,0,1,3
Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,,0,0,0,11,5,7
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta,,0,0,0,105,119,102
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,,0,0,0,1,2,3
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,,0,0,0,4,2,2
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,,0,0,0,46,54,52
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,mazei,2,0,0,181,181,178
Archaea,Euryarchaeota,Thermoplasmata,E2,Methanomassiliicoccaceae,Methanomassiliicoccus,,0,0,0,2,0,1
Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,modestum,0,0,0,2,0,0
Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix,,0,0,2,103,107,105
Bacteria,Acidobacteria,Solibacteres,Solibacterales,Bryobacteraceae,Bryobacter,,0,0,0,1,0,1
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,,0,0,0,2,0,1
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Ferrimicrobium,,0,0,0,0,1,0
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Iamia,,0,0,0,11,8,6
