Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Family_Genus,ERR977407,ERR977409,ERR977410,ERR977423,ERR977424,ERR977425,ERR977403,ERR977404,ERR977405,ERR977406,ERR977411,ERR977415,ERR977417,ERR977421
Archaea,Archaea,Crenarchaeota,Thaumarchaeota,Cenarchaeales,Cenarchaeaceae,Cenarchaeum,Cena_Cenarchaeum,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Archaea,Archaea,Crenarchaeota,Thaumarchaeota,Cenarchaeales,Cenarchaeaceae,Nitrosopumilus,Cena_Nitrosopumilus,0,0,0,0,0,0,0,0,0,0,0,0,222,26
Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Meth_Methanobacterium,0,2,2,0,0,4,0,0,0,0,0,1,0,0
Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Meth_Methanobrevibacter,0,1,0,4,1,6,0,0,0,0,0,1,0,0
Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Meth_Methanosphaera,0,0,0,0,0,3,0,0,0,0,2,0,0,0
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Meth_Methanocorpusculum,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,Meth_Methanogenium,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea,Meth_Methanolinea,0,0,0,0,0,2,0,0,0,0,1,1,0,0
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Meth_Methanospirillum,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta,Meth_Methanosaeta,0,0,2,0,2,23,0,0,0,0,4,3,0,0
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanimicrococcus,Meth_Methanimicrococcus,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Meth_Methanococcoides,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Meth_Methanolobus,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,Meth_Methanomethylovorans,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Meth_Methanosarcina,1,0,0,1,0,13,0,0,0,0,0,1,0,0
Bacteria,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,Acid_Terriglobus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix,Holo_Geothrix,0,0,0,1,0,0,0,0,0,0,0,0,0,14
Bacteria,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,Acid_Acidimicrobium,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Iamia,Iami_Iamia,0,0,0,3,2,1,0,0,0,0,0,2,1,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum,Acti_Actinobaculum,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Acti_Actinomyces,0,0,0,3,11,19,0,0,0,0,0,2,0,2
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus,Acti_Mobiluncus,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,Acti_Varibaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Saccharothrix,Acti_Saccharothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Beutenbergiaceae,Salana,Beut_Salana,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Bogoriellaceae,Georgenia,Bogo_Georgenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium,Brev_Brevibacterium,0,0,2,0,2,1,0,0,0,0,0,1,0,1
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Cell_Cellulomonas,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Demequina,Cell_Demequina,0,0,0,3,1,3,0,0,0,0,0,3,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Oerskovia,Cell_Oerskovia,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Cory_Corynebacterium,0,0,0,8,22,27,0,0,0,0,0,7,0,2
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cryptosporangiaceae,Cryptosporangium,Cryp_Cryptosporangium,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Brachybacterium,Derm_Brachybacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermacoccaceae,Dermacoccus,Derm_Dermacoccus,0,2,0,2,1,4,0,0,0,0,0,8,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermatophilaceae,Dermatophilus,Derm_Dermatophilus,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermatophilaceae,Kineosphaera,Derm_Kineosphaera,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dietziaceae,Dietzia,Diet_Dietzia,0,0,0,6,3,5,0,0,0,0,1,1,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Geodermatophilus,Geod_Geodermatophilus,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Glycomycetaceae,Glycomyces,Glyc_Glycomyces,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Gordoniaceae,Gordonia,Gord_Gordonia,1,29,3,40,226,289,0,0,0,0,6,19,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Arsenicicoccus,Intr_Arsenicicoccus,0,1,0,2,3,1,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Intrasporangium,Intr_Intrasporangium,0,4,0,0,0,1,0,0,0,0,0,1,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Janibacter,Intr_Janibacter,1,0,0,4,6,2,0,0,0,0,0,34,0,4
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Knoellia,Intr_Knoellia,1,0,0,0,0,4,0,0,0,0,0,2,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Kytococcus,Intr_Kytococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Lapillicoccus,Intr_Lapillicoccus,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Marihabitans,Intr_Marihabitans,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Phycicoccus,Intr_Phycicoccus,2,7,1,3,1,5,0,0,0,0,1,10,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Serinicoccus,Intr_Serinicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Terracoccus,Intr_Terracoccus,0,2,0,0,1,0,0,0,0,0,0,1,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Tetrasphaera,Intr_Tetrasphaera,0,1,0,0,2,0,0,0,0,0,0,2,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Jonesiaceae,Jonesia,Jone_Jonesia,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Kineosporiaceae,Kineococcus,Kine_Kineococcus,0,0,0,0,2,2,0,0,0,0,0,0,0,1
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Kineosporiaceae,Kineosporia,Kine_Kineosporia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agrococcus,Micr_Agrococcus,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces,Micr_Agromyces,0,0,0,0,0,0,0,0,0,0,0,1,0,4
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Clavibacter,Micr_Clavibacter,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Cryocola,Micr_Cryocola,0,0,1,0,0,0,0,0,0,0,0,0,0,6
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Curtobacterium,Micr_Curtobacterium,0,0,0,0,0,0,0,0,0,0,0,2,0,24
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Frigoribacterium,Micr_Frigoribacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Frondihabitans,Micr_Frondihabitans,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Glaciibacter,Micr_Glaciibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Leifsonia,Micr_Leifsonia,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Leucobacter,Micr_Leucobacter,0,2,0,3,3,7,0,0,0,0,0,3,0,6
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,Micr_Microbacterium,0,4,4,3,9,16,0,0,0,0,8,77,0,87
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Mycetocola,Micr_Mycetocola,0,2,0,0,2,1,0,0,0,0,2,5,0,36
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Pseudoclavibacter,Micr_Pseudoclavibacter,0,0,0,1,1,0,0,0,0,0,0,0,0,2
