kingdom	phylum	ERR712377	ERR712390
Archaea	Euryarchaeota	0	18
Archaea	Parvarchaeota	0	2
Bacteria	AD3	1	0
Bacteria	Acidobacteria	1037	205
Bacteria	Actinobacteria	13022	2652
Bacteria	Armatimonadetes	30	11
Bacteria	BRC1	6	2
Bacteria	Bacteroidetes	509	1326
Bacteria	Caldiserica	1	1
Bacteria	Chlamydiae	0	1
Bacteria	Chlorobi	56	105
Bacteria	Chloroflexi	3074	1425
Bacteria	Cyanobacteria	7	23
Bacteria	Elusimicrobia	15	2
Bacteria	FBP	3	0
Bacteria	FCPU426	0	1
Bacteria	Fibrobacteres	3	26
Bacteria	Firmicutes	159	1179
Bacteria	Fusobacteria	4	24
Bacteria	GN02	5	11
Bacteria	GN04	2	0
Bacteria	GOUTA4	4	3
Bacteria	Gemmatimonadetes	1479	31
Bacteria	KSB3	1	0
Bacteria	NKB19	10	7
Bacteria	Nitrospirae	73	33
Bacteria	OC31	1	0
Bacteria	OD1	6	42
Bacteria	OP11	2	16
Bacteria	OP3	1	6
Bacteria	Planctomycetes	404	186
Bacteria	Proteobacteria	10091	7561
Bacteria	SAR406	1	0
Bacteria	SR1	1	0
Bacteria	Spirochaetes	1	50
Bacteria	Synergistetes	1	3
Bacteria	TM7	51	61
Bacteria	TPD-58	1	0
Bacteria	Tenericutes	0	3
Bacteria	Thermi	2	0
Bacteria	Verrucomicrobia	103	201
Bacteria	WPS-2	25	17
Bacteria	WS2	3	1
Bacteria	WS3	31	8
Bacteria	WS4	1	0
Bacteria	WS6	0	1
Unassigned	Unassigned	8216	5781
