kingdom,phylum,ERR712390
Archaea,Euryarchaeota,18
Archaea,Parvarchaeota,2
Bacteria,Acidobacteria,205
Bacteria,Actinobacteria,2652
Bacteria,Armatimonadetes,11
Bacteria,Bacteroidetes,1326
Bacteria,Caldiserica,1
Bacteria,Chlamydiae,1
Bacteria,Chlorobi,105
Bacteria,Chloroflexi,1425
Bacteria,Cyanobacteria,23
Bacteria,Elusimicrobia,2
Bacteria,Fibrobacteres,26
Bacteria,Firmicutes,1179
Bacteria,Fusobacteria,24
Bacteria,Gemmatimonadetes,31
Bacteria,Nitrospirae,33
Bacteria,Planctomycetes,186
Bacteria,Proteobacteria,7561
Bacteria,Spirochaetes,50
Bacteria,Synergistetes,3
Bacteria,Tenericutes,3
Bacteria,Thermi,0
Bacteria,Verrucomicrobia,201
