kingdom,phylum,ERR2088984,ERR2088985,ERR2088986,ERR2088987,ERR2088988,ERR2088989,ERR2088990,ERR2088991,ERR2088992,ERR2088993,ERR2088994,ERR2088995
Archaea,Crenarchaeota,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Euryarchaeota,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Thaumarchaeota,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Aquificae,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Armatimonadetes,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Balneolaeota,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Caldiserica,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Calditrichaeota,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Chlamydiae,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Chlorobi,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Chloroflexi,0,0,0,0,0,0,1,0,0,0,0,0
Bacteria,Chrysiogenetes,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Cyanobacteria,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Deferribacteres,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Elusimicrobia,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Fibrobacteres,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Fusobacteria,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Gemmatimonadetes,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Ignavibacteriae,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Kiritimatiellaeota,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Lentisphaerae,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Nitrospinae,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Nitrospirae,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Planctomycetes,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Spirochaetes,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Synergistetes,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Tenericutes,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Thermodesulfobacteria,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Thermotogae,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Verrucomicrobia,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Annelida,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Apicomplexa,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Arthropoda,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Ascomycota,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Bacillariophyta,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Basidiomycota,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Brachiopoda,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chlorophyta,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chordata,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Cryptomycota,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Echinodermata,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Euglenida,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Haplosporidia,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Mollusca,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Mucoromycota,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Nematoda,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Phaeophyceae,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Picozoa,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Platyhelminthes,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Rotifera,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Streptophyta,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Tardigrada,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Zoopagomycota,0,0,0,0,0,0,0,0,0,0,0,0
