kingdom	phylum	ERR2683114	ERR2683115	ERR2683116	ERR2683117	ERR2683118	ERR2683119	ERR2683120	ERR2683121	ERR2683122	ERR2683123	ERR2683124	ERR2683125	ERR2683126	ERR2683127	ERR2683128	ERR2683129	ERR2683130	ERR2683131	ERR2683132	ERR2683133	ERR2683134	ERR2683135	ERR2683136	ERR2683137	ERR2683138	ERR2683139	ERR2683140	ERR2683141	ERR2683142	ERR2683143	ERR2683144	ERR2683145	ERR2683146	ERR2683147	ERR2683148	ERR2683149	ERR2683150	ERR2683151	ERR2683152	ERR2683153	ERR2683154	ERR2683155	ERR2683156	ERR2683157	ERR2683158	ERR2683159	ERR2683160	ERR2683161	ERR2683162	ERR2683163	ERR2683164	ERR2683165	ERR2683166	ERR2683167	ERR2683168	ERR2683169	ERR2683170	ERR2683171	ERR2683172	ERR2683173	ERR2683174	ERR2683175	ERR2683176	ERR2683177	ERR2683178	ERR2683179	ERR2683180	ERR2683181	ERR2683182	ERR2683183	ERR2683184	ERR2683185	ERR2683186	ERR2683187	ERR2683188	ERR2683189	ERR2683190	ERR2683191	ERR2683192	ERR2683193	ERR2683194	ERR2683195	ERR2683196	ERR2683197	ERR2683198	ERR2683199	ERR2683200	ERR2683201	ERR2683202	ERR2683203	ERR2683204	ERR2683205	ERR2683206	ERR2683207	ERR2683208	ERR2683209	ERR2683210	ERR2683211	ERR2683212	ERR2683213	ERR2683214	ERR2683215	ERR2683216	ERR2683217	ERR2683218	ERR2683219	ERR2683220	ERR2683221	ERR2683222	ERR2683223	ERR2683224	ERR2683225	ERR2683226	ERR2683227	ERR2683228	ERR2683229	ERR2683230	ERR2683231	ERR2683232	ERR2683233	ERR2683234	ERR2683235	ERR2683236	ERR2683237	ERR2683238	ERR2683239	ERR2683240	ERR2683241	ERR2683242	ERR2683243	ERR2683244	ERR2683245	ERR2683246	ERR2683247	ERR2683248	ERR2683249	ERR2683250	ERR2683251	ERR2683252	ERR2683253	ERR2683254	ERR2683255	ERR2683256	ERR2683257	ERR2683258	ERR2683259	ERR2683260	ERR2683261	ERR2683262	ERR2683263	ERR2683264	ERR2683265	ERR2683266	ERR2683267	ERR2683268	ERR2683269	ERR2683270	ERR2683271	ERR2683272	ERR2683273	ERR2683274	ERR2683275	ERR2683276	ERR2683277	ERR2683278	ERR2683279	ERR2683280	ERR2683525	ERR2683526	ERR2683527	ERR2683528	ERR2683529	ERR2683530	ERR2683531	ERR2683532	ERR2683533	ERR2683534	ERR2683535	ERR2683536	ERR2683537	ERR2683538
Archaea	Candidatus_Diapherotrites	0	1	0	0	0	0	0	7	7	0	39	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	3	1	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	17	1	0	0	0	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	18	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	2	5	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Candidatus_Verstraetearchaeota	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Candidatus_Woesearchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Crenarchaeota	0	0	0	0	0	0	1	47	4	5	6	0	0	0	0	1	2	0	2	0	0	0	1	1	1	0	0	0	2	0	0	1	0	1	11	0	3	0	0	0	0	4	0	0	1	0	1	0	0	3	0	28	0	0	0	0	0	6	0	0	1	0	1	0	0	0	0	0	2	12	0	0	1	0	1	0	0	2	0	0	0	1	2	1	1	0	0	0	0	1	0	0	0	0	0	0	1	32	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	5	1	1	2	0	0	2	0	0	0	3	0	0	1	0	0	1	0	0	2	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	7	0	0	0	1	2	1	0	3	1	8	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Archaea	Euryarchaeota	544	45	257	128	1481	42	241	1589	237	161	324	43	10	24	346	304	17	418	81	626	288	128	157	431	411	622	130	63	510	259	387	139	96	208	935	447	726	104	391	77	395	592	706	511	274	104	828	379	81	670	424	578	136	165	329	20	34	2922	214	790	1560	369	156	137	120	107	15	179	1114	1151	429	246	504	98	467	209	221	270	149	139	38	164	143	267	1003	216	50	19	24	157	24	27	18	16	17	90	147	3868	1120	155	188	36	372	238	143	837	597	593	265	174	78	116	239	1231	363	467	230	328	115	186	306	198	59	941	1126	608	95	80	287	183	169	182	552	212	145	171	87	433	182	77	108	599	548	270	119	190	139	265	1045	211	119	69	878	81	154	100	1092	22	1326	210	106	157	25	223	90	19	32	1	1	1	7	4	3	6	2	29	17	14	11	0	0
Archaea	Nanoarchaeota	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Thaumarchaeota	3	0	0	0	4	0	1	1	0	0	1	0	0	1	2	0	1	0	2	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	3	4	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	3	2	0	7	4	0	0	0	1	1	0	0	2	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	4	22	1	1	1	0	5	58	101	11	172	0	0	0	2	0	30	4	22	1	5	0	2	4	4	1	2	2	2	0	0	5	7	6	36	5	2	1	5	1	2	6	1	1	2	0	3	7	3	4	6	5	0	16	3	9	2	56	1	0	15	1	2	0	4	3	46	6	17	28	11	7	9	1	4	9	1	4	30	6	0	4	1	5	7	3	1	0	0	0	0	0	0	1	0	3	0	77	30	0	3	2	0	7	0	14	7	10	2	2	3	2	1	17	1	2	0	3	1	2	0	1	0	6	6	11	3	0	1	4	1	33	45	2	7	1	4	2	3	0	1	4	7	0	4	5	0	1	8	0	3	22	3	0	4	1	18	45	49	1	0	4	0	6	3	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Acidobacteria	48	74	82	139	128	47	124	561	138	173	331	40	79	115	124	79	719	72	1014	72	180	46	210	60	49	35	451	73	57	32	46	183	191	120	467	63	39	111	88	59	76	61	51	90	62	17	65	579	105	1401	2048	492	211	163	400	598	175	4211	49	26	95	190	96	18	126	37	299	130	834	1113	431	161	210	84	375	89	95	109	602	157	28	427	161	49	79	847	75	16	16	78	14	12	15	8	17	55	59	240	6272	48	91	16	59	48	47	89	76	148	59	106	96	82	17	458	39	60	68	56	98	87	76	45	101	146	185	297	43	53	156	121	63	626	306	81	587	63	47	63	75	250	92	185	78	209	94	63	105	62	44	41	403	144	152	102	342	81	248	82	76	86	63	109	64	962	60	14	87	3	3	3	0	1	7	1	1	16	18	13	9	0	0
Bacteria	Actinobacteria	6851	1842	1110	1243	3175	2345	1357	952	1898	1332	874	8086	6565	9662	3657	6477	2081	9900	3442	9775	4782	1867	1753	2987	3461	4114	1570	1075	1865	5243	1757	2248	1329	3732	1233	3874	4287	4473	5393	2744	2811	6153	3470	2030	1976	699	2814	902	1107	1913	1819	776	1552	1351	1970	5493	789	2597	6678	4970	4097	1657	4424	1247	1182	1798	711	1349	5883	1984	5154	2486	5069	1345	1484	1866	3917	7466	1710	1662	531	4553	3684	1360	2318	1364	670	105	144	2655	148	110	119	134	107	2025	891	1058	1485	2792	3002	892	3686	1707	1926	2492	7063	2112	2375	2198	928	863	3009	5948	2171	3500	1461	2038	1423	2047	2731	2965	1362	9733	8379	6910	4005	821	1329	813	1443	2089	970	10731	1349	1067	1053	2620	1536	898	2996	2519	4231	4396	1031	4559	1121	1190	2103	1657	587	1442	4338	993	688	591	853	4618	2255	2864	3476	5640	1371	2916	2763	404	41854	41	33	31	23	12	16	12	30	97	85	80	114	3	5
