Superkingdom,Phylum,Class,Order,Family,Genus,ERZ795044
Archaea,Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,1.0
Bacteria,Acidobacteria,,,,Thermoanaerobaculum,1.0
Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Holophaga,1.0
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,1.0
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,1.0
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propioniciclava,2.0
Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Ferruginibacter,1.0
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,1.0
Bacteria,Chloroflexi,,,,Kouleothrix,1.0
Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Leptolinea,1.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Gracilibacteraceae,Gracilibacter,1.0
Bacteria,Firmicutes,Tissierellia,,,Sedimentibacter,1.0
Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,1.0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hirschia,1.0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,1.0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,Reyranella,1.0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,1.0
Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylotenera,2.0
Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,Sulfuritalea,1.0
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Zoogloea,2.0
Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Pajaroellobacter,1.0
Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Smithella,3.0
Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Syntrophus,1.0
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella,2.0
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,1.0
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,1.0
Bacteria,Spirochaetes,Spirochaetia,,Leptospiraceae,Turneriella,2.0
Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,,Exilispira,1.0
Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Lacunisphaera,1.0
Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,1.0
Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,1.0
