kingdom,phylum,ERZ795064
Archaea,Euryarchaeota,7
Bacteria,Acidobacteria,9
Bacteria,Actinobacteria,3
Bacteria,Armatimonadetes,1
Bacteria,Bacteroidetes,28
Bacteria,Caldiserica,3
Bacteria,Chloroflexi,9
Bacteria,Cyanobacteria,1
Bacteria,Elusimicrobia,2
Bacteria,Fibrobacteres,1
Bacteria,Firmicutes,15
Bacteria,Gemmatimonadetes,1
Bacteria,Kiritimatiellaeota,1
Bacteria,Nitrospirae,2
Bacteria,Planctomycetes,1
Bacteria,Proteobacteria,34
Bacteria,Spirochaetes,17
Bacteria,Tenericutes,2
Bacteria,Thermotogae,5
Bacteria,Verrucomicrobia,9
Eukaryota,Cryptomycota,2
