Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Family_Genus,ERZ781412,ERZ781411,ERZ781410,ERZ781409
Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter_Methanobacteriaceae,0.0,0.0,1.0,0.0
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum_Methanospirillaceae,0.0,0.0,0.0,1.0
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina_Methanosarcinaceae,0.0,1.0,0.0,0.0
Archaea,Archaea,Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,Methanomassiliicoccus_Methanomassiliicoccaceae,1.0,0.0,0.0,0.0
Bacteria,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Holophaga,Holophaga_Holophagaceae,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium_Mycobacteriaceae,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Modestobacter,Modestobacter_Geodermatophilaceae,0.0,0.0,1.0,0.0
Bacteria,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,Atopobium_Atopobiaceae,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_Bacteroidaceae,0.0,0.0,0.0,2.0
Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella_Barnesiellaceae,0.0,0.0,0.0,1.0
Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella_Prevotellaceae,1.0,0.0,0.0,0.0
Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_Prevotellaceae,0.0,0.0,0.0,1.0
Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Acetobacteroides,Acetobacteroides_Rikenellaceae,1.0,0.0,0.0,1.0
Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes_Rikenellaceae,0.0,1.0,0.0,2.0
Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Anaerocella,Anaerocella_Rikenellaceae,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides_Tannerellaceae,1.0,1.0,0.0,0.0
Bacteria,Bacteria,Elusimicrobia,Elusimicrobia,Elusimicrobiales,Elusimicrobiaceae,Elusimicrobium,Elusimicrobium_Elusimicrobiaceae,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_Bacillaceae,0.0,0.0,0.0,1.0
Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_Streptococcaceae,0.0,2.0,0.0,0.0
Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Fusicatenibacter,Fusicatenibacter_Lachnospiraceae,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia,Marvinbryantia_Lachnospiraceae,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia_Lachnospiraceae,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Peptococcus,Peptococcus_Peptococcaceae,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium_Ruminococcaceae,1.0,0.0,1.0,3.0
Bacteria,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,Catenibacterium_Erysipelotrichaceae,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,Holdemanella_Erysipelotrichaceae,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas_Selenomonadaceae,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas_Selenomonadaceae,0.0,1.0,1.0,0.0
Bacteria,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera_Veillonellaceae,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Hypnocyclicus,Hypnocyclicus_Fusobacteriaceae,1.0,1.0,1.0,1.0
Bacteria,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,Victivallis,Victivallis_Victivallaceae,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus_Rhodobacteraceae,0.0,0.0,1.0,0.0
Bacteria,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Brachymonas,Brachymonas_Comamonadaceae,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella_Sutterellaceae,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria_Neisseriaceae,1.0,1.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Rivicola,Rivicola_Neisseriaceae,1.0,1.0,1.0,0.0
Bacteria,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Zoogloea,Zoogloea_Zoogloeaceae,0.0,2.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio_Desulfovibrionaceae,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter,Arcobacter_Campylobacteraceae,1.0,1.0,3.0,1.0
Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas_Aeromonadaceae,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Lacunisphaera,Lacunisphaera_Opitutaceae,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia_Akkermansiaceae,0.0,2.0,0.0,0.0
Eukaryota,Eukaryota,,,,,Blastocystis,Blastocystis,2.0,2.0,5.0,2.0
Eukaryota,Eukaryota,,,,,Paratrimastix,Paratrimastix,0.0,0.0,0.0,1.0
Eukaryota,Eukaryota,,,,,Ptolemeba,Ptolemeba,1.0,0.0,1.0,0.0
Eukaryota,Eukaryota,,,,,Rhizomastix,Rhizomastix,1.0,0.0,0.0,0.0
Eukaryota,Eukaryota,,,,Hartmannellidae,Saccamoeba,Saccamoeba_Hartmannellidae,1.0,0.0,0.0,0.0
Eukaryota,Eukaryota,,,,Hexamitidae,Giardia,Giardia_Hexamitidae,1.0,0.0,1.0,1.0
Eukaryota,Eukaryota,,,,Vannellidae,Platyamoeba,Platyamoeba_Vannellidae,1.0,0.0,0.0,0.0
Eukaryota,Eukaryota,,,,Vannellidae,Vannella,Vannella_Vannellidae,1.0,1.0,2.0,1.0
Eukaryota,Eukaryota,,,Cryomonadida,Rhogostomidae,Rhogostoma,Rhogostoma_Rhogostomidae,0.0,2.0,1.0,1.0
Eukaryota,Eukaryota,,,Kinetoplastida,Bodonidae,Bodo,Bodo_Bodonidae,0.0,0.0,1.0,0.0
Eukaryota,Eukaryota,,,Kinetoplastida,Bodonidae,Parabodo,Parabodo_Bodonidae,3.0,0.0,2.0,3.0
Eukaryota,Eukaryota,,,Kinetoplastida,Ichthyobodonidae,Ichthyobodo,Ichthyobodo_Ichthyobodonidae,2.0,0.0,2.0,0.0
Eukaryota,Eukaryota,,,Longamoebia,Acanthamoebidae,Acanthamoeba,Acanthamoeba_Acanthamoebidae,0.0,0.0,1.0,0.0
Eukaryota,Eukaryota,,,Physariida,Physaraceae,Physarella,Physarella_Physaraceae,0.0,0.0,1.0,0.0
Eukaryota,Eukaryota,,,Tritrichomonadida,Dientamoebidae,Dientamoeba,Dientamoeba_Dientamoebidae,2.0,0.0,2.0,2.0
Eukaryota,Eukaryota,,Armophorea,Armophorida,Metopidae,Brachonella,Brachonella_Metopidae,1.0,0.0,0.0,0.0
Eukaryota,Eukaryota,,Heterolobosea,Schizopyrenida,Vahlkampfiidae,Naegleria,Naegleria_Vahlkampfiidae,2.0,0.0,2.0,2.0
Eukaryota,Eukaryota,,Heterolobosea,Schizopyrenida,Vahlkampfiidae,Tetramitus,Tetramitus_Vahlkampfiidae,1.0,0.0,2.0,1.0
Eukaryota,Eukaryota,,Litostomatea,Vestibuliferida,Trimyemidae,Trimyema,Trimyema_Trimyemidae,1.0,0.0,2.0,0.0
Eukaryota,Eukaryota,,Oligohymenophorea,Peniculida,Parameciidae,Paramecium,Paramecium_Parameciidae,0.0,0.0,2.0,0.0
Eukaryota,Eukaryota,Euglenida,,Euglenales,Euglenaceae,Euglena,Euglena_Euglenaceae,1.0,2.0,2.0,0.0
Eukaryota,Eukaryota,Euglenida,,Sphenomonadales,Sphenomonadidae,Petalomonas,Petalomonas_Sphenomonadidae,1.0,0.0,0.0,0.0
Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Geotrichum,Geotrichum_Dipodascaceae,1.0,0.0,0.0,0.0
Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Saprochaete,Saprochaete_Dipodascaceae,0.0,1.0,0.0,0.0
Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Brettanomyces,Brettanomyces_Pichiaceae,0.0,0.0,1.0,0.0
Eukaryota,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia_Malasseziaceae,0.0,1.0,0.0,0.0
Eukaryota,Metazoa,Annelida,Clitellata,Haplotaxida,Aeolosomatidae,Aeolosoma,Aeolosoma_Aeolosomatidae,1.0,0.0,0.0,0.0
Eukaryota,Metazoa,Nematoda,Chromadorea,Diplogasterida,Diplogasteridae,Rhabditidoides,Rhabditidoides_Diplogasteridae,1.0,2.0,2.0,0.0
Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Diplogastridae,Acrostichus,Acrostichus_Diplogastridae,0.0,0.0,1.0,0.0
Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Diploscapteridae,Diploscapter,Diploscapter_Diploscapteridae,1.0,0.0,2.0,0.0
Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Panagrolaimidae,Halicephalobus,Halicephalobus_Panagrolaimidae,1.0,0.0,0.0,0.0
Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,Caenorhabditis_Rhabditidae,2.0,2.0,1.0,0.0
Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Oscheius,Oscheius_Rhabditidae,0.0,0.0,1.0,0.0
Eukaryota,Metazoa,Rotifera,Bdelloidea,Adinetida,Adinetidae,Adineta,Adineta_Adinetidae,0.0,0.0,1.0,0.0
Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Prototheca,Prototheca_Chlorellaceae,0.0,2.0,0.0,0.0
