kingdom,phylum,ERZ781412,ERZ781411,ERZ781410,ERZ781409
Archaea,Euryarchaeota,3,3,2,3
Bacteria,Acidobacteria,0,1,0,0
Bacteria,Actinobacteria,1,6,2,0
Bacteria,Bacteroidetes,6,7,1,8
Bacteria,Chloroflexi,0,1,0,0
Bacteria,Cyanobacteria,0,1,0,1
Bacteria,Elusimicrobia,0,1,0,0
Bacteria,Firmicutes,3,21,3,5
Bacteria,Fusobacteria,1,2,1,2
Bacteria,Kiritimatiellaeota,0,1,0,0
Bacteria,Lentisphaerae,0,3,0,0
Bacteria,Planctomycetes,0,3,0,0
Bacteria,Proteobacteria,5,17,9,4
Bacteria,Spirochaetes,0,3,0,0
Bacteria,Tenericutes,0,0,0,1
Bacteria,Verrucomicrobia,0,7,0,0
Eukaryota,Annelida,1,0,0,0
Eukaryota,Arthropoda,4,0,1,0
Eukaryota,Ascomycota,1,3,7,0
Eukaryota,Basidiomycota,3,2,1,0
Eukaryota,Chlorophyta,0,2,0,0
Eukaryota,Chordata,0,3,0,0
Eukaryota,Chytridiomycota,1,0,0,0
Eukaryota,Euglenida,4,4,4,2
Eukaryota,Nematoda,6,4,8,0
Eukaryota,Rotifera,2,0,2,0
Eukaryota,Streptophyta,0,0,1,1
