kingdom	phylum	ERZ782915	ERZ782916	ERZ782923	ERZ782924	ERZ782925	ERZ782926	ERZ782927	ERZ782928	ERZ782929	ERZ782930
Archaea	Unassigned	0	0	0	0	0	0	1	0	0	0
Bacteria	Actinobacteria	2	2	0	2	1	2	1	2	1	1
Bacteria	Bacteroidetes	4	5	2	8	8	4	5	2	6	8
Bacteria	Chlamydiae	2	2	0	1	1	1	0	0	1	1
Bacteria	Firmicutes	0	0	2	0	1	1	2	1	1	3
Bacteria	Proteobacteria	7	9	7	8	10	8	5	4	8	9
Bacteria	Tenericutes	0	0	0	0	1	0	1	0	1	0
Bacteria	Unassigned	2	6	5	8	7	7	5	8	9	8
Chloroplast	Unassigned	0	0	0	2	0	0	0	1	0	1
Eukaryota	Ascomycota	0	0	0	0	0	0	1	0	0	0
Eukaryota	Chordata	0	0	0	0	1	0	0	0	1	0
Eukaryota	Unassigned	8	11	19	19	19	18	22	21	20	20
Mitochondria	Unassigned	2	4	5	4	4	2	3	2	4	3
