#SampleID	ERZ782915	ERZ782916	ERZ782923	ERZ782924	ERZ782925	ERZ782926	ERZ782927	ERZ782928	ERZ782929	ERZ782930
sk__Archaea	0	0	0	0	0	0	1.0	0	0	0
sk__Bacteria	2.0	6.0	5.0	8.0	7.0	7.0	5.0	8.0	9.0	8.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Nocardia	1.0	1.0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales	0	0	0	1.0	0	1.0	0	1.0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Leucobacter	1.0	1.0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sk__Bacteria;k__;p__Bacteroidetes	1.0	2.0	0	2.0	1.0	1.0	1.0	0	1.0	1.0
sk__Bacteria;k__;p__Bacteroidetes;c__;o__;f__;g__;s__Bacteroidetes_bacterium_47-18	1.0	0	0	0	1.0	1.0	0	0	1.0	1.0
sk__Bacteria;k__;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae	0	0	0	1.0	1.0	0	0	0	0	3.0
sk__Bacteria;k__;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Chitinophaga	1.0	1.0	0	0	1.0	0	1.0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Niabella	0	1.0	0	0	0	0	1.0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Leadbetterella;s__Leadbetterella_sp._enrichment_culture	0	0	0	1.0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Crocinitomicaceae	0	0	0	1.0	1.0	0	0	0	1.0	1.0
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Chryseobacterium	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Chryseobacterium;s__Chryseobacterium_koreense	0	0	0	1.0	0	0	0	0	0	0
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales	1.0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae	0	1.0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__Neochlamydia	1.0	1.0	0	1.0	1.0	1.0	0	0	1.0	1.0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli	0	0	0	0	0	0	0	1.0	0	2.0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales	0	0	0	0	1.0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	0	0	2.0	0	0	0	1.0	0	1.0	1.0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales	0	0	0	0	0	1.0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Anaerofustis	0	0	0	0	0	0	1.0	0	0	0
sk__Bacteria;k__;p__Proteobacteria	0	1.0	0	1.0	1.0	0	0	1.0	0	1.0
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria	0	1.0	1.0	3.0	2.0	1.0	0	0	1.0	3.0
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	1.0	1.0	0	0	1.0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia	0	1.0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae	1.0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae	0	0	0	0	0	0	0	0	1.0	0
