Superkingdom,Phylum,Class,Order,Family,Genus,Species,ERZ782915,ERZ782916,ERZ782923,ERZ782924,ERZ782925,ERZ782926,ERZ782927,ERZ782928,ERZ782929,ERZ782930
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leucobacter,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Niabella,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Leadbetterella,Leadbetterella_sp._enrichment_culture,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium_koreense,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0
Bacteria,Chlamydiae,Chlamydiia,Parachlamydiales,Parachlamydiaceae,Neochlamydia,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Anaerofustis,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_hyorhinis,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Eukaryota,,,,Jakobidae,Jakoba,Jakoba_libera,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Eukaryota,,,Cercomonadida,Heteromitidae,Heteromita,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Eukaryota,,,Glissomonadida,,Sandona,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eukaryota,,,Glissomonadida,Sandonidae,Bodomorpha,Bodomorpha_sp._HFCC_927,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eukaryota,,Heterolobosea,Schizopyrenida,Vahlkampfiidae,Allovahlkampfia,Allovahlkampfia_sp._PKD_2011a,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Eukaryota,,Heterolobosea,Schizopyrenida,Vahlkampfiidae,Vahlkampfia,Vahlkampfia_avara,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Eukaryota,,Oomycetes,Peronosporales,Peronosporaceae,Plasmopara,Plasmopara_viticola,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
