kingdom,phylum,ERZ724506,ERZ724540,ERZ724559,ERZ724523,ERZ724557,ERZ724505
Archaea,Euryarchaeota,0,3,0,4,1,0
Bacteria,Acidobacteria,0,3,0,1,5,3
Bacteria,Actinobacteria,4,11,3,9,9,3
Bacteria,Armatimonadetes,0,1,0,0,0,0
Bacteria,Bacteroidetes,9,17,20,40,18,6
Bacteria,Caldiserica,0,0,0,0,0,0
Bacteria,Calditrichaeota,0,0,0,0,0,0
Bacteria,Chlamydiae,0,0,0,0,0,0
Bacteria,Chloroflexi,0,2,3,1,6,0
Bacteria,Cyanobacteria,0,1,0,0,0,0
Bacteria,Elusimicrobia,0,0,0,0,2,1
Bacteria,Fibrobacteres,1,0,1,0,0,2
Bacteria,Firmicutes,0,19,0,20,1,3
Bacteria,Fusobacteria,0,3,0,2,0,0
Bacteria,Gemmatimonadetes,0,0,1,0,1,0
Bacteria,Ignavibacteriae,1,0,2,1,0,0
Bacteria,Lentisphaerae,0,0,0,0,0,0
Bacteria,Nitrospirae,0,1,2,0,3,0
Bacteria,Planctomycetes,0,0,0,0,4,1
Bacteria,Proteobacteria,20,31,22,38,45,24
Bacteria,Spirochaetes,0,1,0,2,1,0
Bacteria,Synergistetes,0,3,0,2,0,0
Bacteria,Tenericutes,0,0,0,1,0,0
Bacteria,Thermotogae,0,0,0,2,0,0
Bacteria,Verrucomicrobia,0,0,1,2,3,0
Eukaryota,Annelida,0,0,0,0,0,0
Eukaryota,Arthropoda,0,0,0,0,0,0
Eukaryota,Ascomycota,0,0,0,0,0,0
Eukaryota,Basidiomycota,0,0,0,0,0,0
Eukaryota,Cryptomycota,0,2,0,0,0,0
Eukaryota,Euglenida,0,0,0,0,0,2
Eukaryota,Nematoda,1,0,0,0,0,0
Eukaryota,Rotifera,0,0,0,1,0,0
