kingdom	phylum	ERR2814645	ERR2814646	ERR2814647	ERR2814648	ERR2814649	ERR2814650	ERR2814651	ERR2814652	ERR2814653	ERR2814654	ERR2814655	ERR2814656	ERR2814657	ERR2814658	ERR2814659	ERR2814660	ERR2814661	ERR2814662	ERR2814663	ERR2814664	ERR2814665	ERR2814666	ERR2814667	ERR2814668
Archaea	Candidatus_Diapherotrites	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1
Archaea	Crenarchaeota	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Archaea	Euryarchaeota	12	18	25	22	17	21	81	75	15	18	22	16	62	75	80	20	21	22	10	28	14	14	62	23
Archaea	Nanoarchaeota	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Thaumarchaeota	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	2	2	0	0
Archaea	Unassigned	1	1	0	0	1	2	7	0	2	0	2	0	1	2	5	1	0	0	1	0	0	0	2	3
Bacteria	Acidobacteria	9	14	15	26	29	34	18	14	37	45	21	30	7	14	15	24	27	30	18	13	15	17	6	26
Bacteria	Actinobacteria	764	685	738	787	550	591	363	877	1378	1521	1140	573	700	844	342	811	639	824	723	667	322	371	772	1283
Bacteria	Aquificae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0
Bacteria	Armatimonadetes	0	0	0	0	1	1	5	0	7	5	2	1	1	1	1	1	0	0	0	0	1	1	0	1
Bacteria	Bacteroidetes	6977	4807	6106	5900	4593	4950	3543	6141	7312	7862	5211	5291	5696	5948	3277	5183	5725	6179	6605	5674	3309	3615	6152	5738
Bacteria	Caldiserica	0	0	0	1	0	0	3	3	0	1	1	0	0	3	5	0	0	0	0	0	1	0	0	2
Bacteria	Calditrichaeota	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0
Bacteria	Candidatus_Abawacabacteria	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria	Candidatus_Adlerbacteria	6	0	5	2	1	1	0	0	0	1	0	2	0	0	2	0	1	0	6	3	1	0	0	1
Bacteria	Candidatus_Azambacteria	0	1	0	0	3	1	0	0	1	0	1	1	2	2	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Berkelbacteria	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
Bacteria	Candidatus_Brennerbacteria	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Buchananbacteria	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0
Bacteria	Candidatus_Campbellbacteria	2	0	1	2	2	2	2	0	4	3	0	0	0	0	1	1	1	1	1	3	2	1	0	2
Bacteria	Candidatus_Chisholmbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria	Candidatus_Cloacimonetes	1	1	11	3	28	14	22	62	1	1	26	12	1	50	22	2	16	7	1	4	6	5	0	41
Bacteria	Candidatus_Collierbacteria	3	0	2	2	3	5	4	1	0	0	0	3	1	1	1	0	3	3	2	1	0	0	1	0
Bacteria	Candidatus_Colwellbacteria	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1
Bacteria	Candidatus_Curtissbacteria	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0
Bacteria	Candidatus_Daviesbacteria	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	2	0	0	0	0
Bacteria	Candidatus_Falkowbacteria	1	5	25	4	10	12	17	3	4	4	13	5	8	3	15	9	7	4	1	30	21	20	7	16
Bacteria	Candidatus_Giovannonibacteria	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0
