Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Family_Genus,ERZ1505396,ERZ1505397,ERZ1505398,ERZ1505399,ERZ1505401,ERZ1505400,ERZ1505402,ERZ1505403
Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Meth_Methanobrevibacter,1,1,1,1,0,1,0,1
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifi_Bifidobacterium,1,0,1,1,1,1,1,2
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Myco_Mycobacterium,0,0,0,0,0,0,2,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,Noca_Nocardia,0,0,0,0,0,0,1,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leucobacter,Micr_Leucobacter,0,0,1,0,0,1,1,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Micr_Microbacterium,1,1,0,1,1,1,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Micropruina,Noca_Micropruina,0,0,0,0,0,1,1,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Propionicicella,Noca_Propionicicella,0,0,0,1,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Granulicoccus,Prop_Granulicoccus,0,0,1,1,0,1,0,1
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propioniciclava,Prop_Propioniciclava,0,0,1,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Tessaracoccus,Prop_Tessaracoccus,0,0,1,0,0,0,1,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Stre_Streptomyces,8,3,11,3,6,3,7,3
Bacteria,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Cori_Collinsella,2,1,1,2,0,2,2,1
Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bact_Bacteroides,2,1,1,0,4,1,4,3
Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barn_Barnesiella,0,0,0,0,0,0,1,1
Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonamonadaceae,Dysgonomonas,Dysg_Dysgonomonas,0,0,0,0,0,0,1,0
Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Odoribacter,Odor_Odoribacter,0,0,0,0,1,0,0,0
Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,Palu_Paludibacter,0,0,1,0,0,0,0,0
Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Rike_Alistipes,1,0,3,0,4,0,4,1
Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Anaerocella,Rike_Anaerocella,0,0,0,0,0,0,1,0
Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Tann_Parabacteroides,0,0,2,0,0,0,1,0
Bacteria,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Terrimonas,Chit_Terrimonas,0,0,1,0,0,0,0,0
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Algoriella,Flav_Algoriella,0,1,0,0,0,0,0,0
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Flav_Chryseobacterium,0,0,1,1,0,0,0,1
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cruoricaptor,Flav_Cruoricaptor,0,0,0,0,1,0,0,0
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flav_Flavobacterium,1,2,2,3,3,2,2,3
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Riemerella,Flav_Riemerella,0,0,0,0,1,0,0,0
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Salinimicrobium,Flav_Salinimicrobium,0,0,0,0,1,0,0,0
Bacteria,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Sphi_Pedobacter,0,0,0,0,2,0,1,0
Bacteria,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Dein_Deinococcus,0,0,2,0,0,0,0,0
Bacteria,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Meiothermus,Ther_Meiothermus,0,0,1,0,0,0,0,0
Bacteria,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,Ther_Thermus,0,0,0,0,0,0,0,1
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Baci_Bacillus,0,0,2,1,0,0,0,0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,Plan_Planococcus,0,0,0,0,0,1,0,0
Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,Carn_Trichococcus,0,1,0,0,0,3,0,0
