kingdom,phylum,ERZ1505396,ERZ1505397,ERZ1505398,ERZ1505399,ERZ1505401,ERZ1505400,ERZ1505402,ERZ1505403
Unassigned,Euryarchaeota,1,1,1,1,0,1,0,1
Unassigned,Actinobacteria,16,12,18,13,12,11,20,11
Unassigned,Bacteroidetes,8,10,30,10,29,5,24,19
Unassigned,Chloroflexi,0,0,0,0,0,1,1,0
Unassigned,Elusimicrobia,0,1,0,0,0,0,0,0
Unassigned,Firmicutes,30,28,51,36,56,56,79,69
Unassigned,Fusobacteria,0,2,0,1,0,0,2,0
Unassigned,Nitrospirae,0,0,0,0,0,0,1,0
Unassigned,Planctomycetes,1,0,0,0,1,0,1,1
Unassigned,Proteobacteria,26,26,36,32,47,34,56,39
Unassigned,Spirochaetes,0,0,0,0,0,0,1,0
Unassigned,Tenericutes,1,2,1,2,2,3,7,2
Unassigned,Verrucomicrobia,1,1,1,1,3,2,1,2
Fungi,Ascomycota,3,3,0,1,2,1,1,3
Fungi,Basidiomycota,2,0,0,0,0,3,0,0
Metazoa,Arthropoda,0,0,2,2,6,2,6,0
Metazoa,Chordata,0,0,0,1,0,0,0,0
Metazoa,Mollusca,1,0,1,0,1,1,1,1
Metazoa,Nematoda,6,10,2,5,11,12,8,8
Metazoa,Rotifera,0,0,0,1,0,0,0,0
Unassigned,Cercozoa,0,0,0,0,0,1,2,1
Unassigned,Ciliophora,0,0,0,3,3,0,2,0
Unassigned,Euglenozoa,0,0,0,1,0,0,1,0
Unassigned,Heterolobosea,0,0,0,2,1,0,0,0
Unassigned,Tubulinea,0,0,0,0,1,0,0,0
Viridiplantae,Streptophyta,0,0,0,1,4,1,0,0
