kingdom,phylum,ERZ1714339,ERZ1714338,ERZ1714337,ERZ1714336,ERZ1714335,ERZ1714334,ERZ1714333,ERZ1714332,ERZ1714331,ERZ1714330,ERZ1714329
Unassigned,Acidobacteria,0,0,0,0,0,1,0,0,0,0,0
Unassigned,Actinobacteria,6,0,12,4,9,13,0,13,3,3,0
Unassigned,Bacteroidetes,10,0,8,1,10,20,17,5,59,15,10
Unassigned,Chloroflexi,3,0,0,0,0,0,0,0,0,1,0
Unassigned,Cyanobacteria,0,0,0,0,0,1,0,0,0,0,0
Unassigned,Firmicutes,0,0,0,0,1,0,0,0,17,5,0
Unassigned,Fusobacteria,0,0,0,0,0,0,0,0,2,0,0
Unassigned,Gemmatimonadetes,0,0,0,0,0,0,0,0,0,0,1
Unassigned,Ignavibacteriae,0,0,0,1,0,1,0,0,0,0,0
Unassigned,Nitrospirae,0,0,0,0,0,1,0,0,0,0,0
Unassigned,Planctomycetes,0,0,0,1,0,0,0,0,0,0,0
Unassigned,Proteobacteria,25,34,43,15,35,29,101,32,35,59,62
Unassigned,Spirochaetes,0,0,0,2,0,0,0,0,1,0,0
Unassigned,Thermotogae,2,0,0,0,0,0,0,0,0,0,0
Unassigned,Verrucomicrobia,0,0,0,0,0,2,0,0,0,0,0
Fungi,Cryptomycota,0,0,13,0,0,0,0,1,0,0,0
Metazoa,Annelida,0,0,0,0,0,2,0,0,0,0,0
Metazoa,Nematoda,2,0,0,0,0,0,0,0,0,0,0
Unassigned,Ciliophora,0,0,2,0,0,0,0,0,0,0,0
Unassigned,Euglenozoa,0,0,0,0,0,0,0,1,0,0,0
