superkingdom	kingdom	phylum	ERZ3455898_FASTA	ERZ3455866_FASTA	ERZ3455897_FASTA	ERZ3455890_FASTA	ERZ3455808_FASTA	ERZ3455893_FASTA	ERZ3455883_FASTA	ERZ3455869_FASTA	ERZ3455840_FASTA	ERZ3455833_FASTA	ERZ3455829_FASTA	ERZ3455804_FASTA	ERZ3455878_FASTA	ERZ3455853_FASTA	ERZ3455848_FASTA	ERZ3455819_FASTA	ERZ3455793_FASTA	ERZ3455879_FASTA	ERZ3455899_FASTA	ERZ3455856_FASTA	ERZ3455846_FASTA	ERZ3455895_FASTA	ERZ3455894_FASTA	ERZ3455886_FASTA	ERZ3455864_FASTA	ERZ3455861_FASTA	ERZ3455828_FASTA	ERZ3455820_FASTA	ERZ3455900_FASTA	ERZ3455889_FASTA	ERZ3455875_FASTA	ERZ3455874_FASTA	ERZ3455841_FASTA	ERZ3455792_FASTA	ERZ3455885_FASTA	ERZ3455847_FASTA	ERZ3455896_FASTA	ERZ3455891_FASTA	ERZ3455881_FASTA	ERZ3455873_FASTA	ERZ3455860_FASTA	ERZ3455844_FASTA	ERZ3455838_FASTA	ERZ3455870_FASTA	ERZ3455852_FASTA	ERZ3455813_FASTA	ERZ3455801_FASTA	ERZ3455791_FASTA	ERZ3455858_FASTA	ERZ3455887_FASTA	ERZ3455882_FASTA	ERZ3455877_FASTA	ERZ3455871_FASTA	ERZ3455865_FASTA	ERZ3455857_FASTA	ERZ3455850_FASTA	ERZ3455845_FASTA	ERZ3455835_FASTA	ERZ3455799_FASTA	ERZ3455892_FASTA	ERZ3455836_FASTA	ERZ3455823_FASTA	ERZ3455807_FASTA	ERZ3455880_FASTA	ERZ3455872_FASTA	ERZ3455868_FASTA	ERZ3455851_FASTA	ERZ3455843_FASTA	ERZ3455812_FASTA	ERZ3455888_FASTA	ERZ3455876_FASTA	ERZ3455862_FASTA	ERZ3455825_FASTA	ERZ3455815_FASTA	ERZ3455797_FASTA	ERZ3455884_FASTA	ERZ3455859_FASTA	ERZ3455831_FASTA	ERZ3455809_FASTA	ERZ3455803_FASTA	ERZ3455867_FASTA	ERZ3455863_FASTA	ERZ3455855_FASTA	ERZ3455849_FASTA	ERZ3455839_FASTA	ERZ3455832_FASTA	ERZ3455824_FASTA	ERZ3455817_FASTA	ERZ3455816_FASTA	ERZ3455800_FASTA	ERZ3455796_FASTA	ERZ3455842_FASTA	ERZ3455837_FASTA	ERZ3455834_FASTA	ERZ3455830_FASTA	ERZ3455827_FASTA	ERZ3455821_FASTA	ERZ3455811_FASTA	ERZ3455810_FASTA	ERZ3455806_FASTA	ERZ3455805_FASTA	ERZ3455795_FASTA	ERZ3455854_FASTA	ERZ3455826_FASTA	ERZ3455822_FASTA	ERZ3455814_FASTA	ERZ3455802_FASTA	ERZ3455798_FASTA	ERZ3455794_FASTA	ERZ3455818_FASTA
Archaea	Unassigned	Candidatus_Diapherotrites	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	Euryarchaeota	4	1	1	2	1	1	3	2	0	0	4	1	0	3	1	1	0	0	6	2	3	3	1	2	0	5	2	1	3	1	0	1	1	0	3	2	1	1	2	3	0	3	1	1	3	0	0	0	1	0	1	2	0	0	0	2	6	5	1	1	1	2	1	1	4	2	1	2	1	0	1	0	0	2	1	0	2	3	0	1	2	0	0	3	2	4	1	1	0	0	0	1	1	4	2	1	2	1	1	2	0	0	1	0	0	4	1	3	0	0
Archaea	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Acidobacteria	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	8	1	3	0	0	1	0	13	0	0	7	0	0	0	0	0	3	1	0	0	1	6	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	3	0	0	0	2	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0
Bacteria	Unassigned	Actinobacteria	13	21	11	11	11	14	6	4	2	3	11	0	2	10	4	4	2	0	18	16	19	9	13	10	6	6	6	3	18	3	1	5	6	0	16	22	6	5	7	9	0	13	4	3	7	0	4	0	13	8	4	10	1	0	6	12	9	12	11	2	4	5	14	4	12	8	8	4	1	7	1	0	2	6	8	0	15	7	4	9	0	0	4	10	5	11	8	0	15	7	3	12	3	13	9	4	4	4	6	17	0	0	10	1	4	3	4	8	0	0
Bacteria	Unassigned	Armatimonadetes	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Bacteroidetes	11	33	19	14	16	24	4	13	2	8	24	2	7	22	11	21	3	2	8	21	11	19	18	9	17	79	11	10	46	12	7	13	5	3	37	18	15	11	5	20	6	10	15	8	8	2	9	1	19	12	14	14	15	12	33	11	11	28	6	9	7	8	12	4	19	4	6	15	3	12	10	2	6	5	4	5	10	11	22	15	6	12	6	11	14	5	5	5	19	6	6	18	13	6	13	10	6	4	13	10	13	16	12	10	5	16	11	5	5	4
Bacteria	Unassigned	Balneolaeota	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria	Unassigned	Caldiserica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria	Unassigned	Candidatus_Buchananbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Cloacimonetes	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Collierbacteria	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria	Unassigned	Candidatus_Daviesbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Doudnabacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Falkowbacteria	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Gracilibacteria	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Kaiserbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Magasanikbacteria	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
