OTU,phylum,kingdom
OTU1,Euryarchaeota,Unassigned
OTU2,Actinobacteria,Unassigned
OTU3,Bacteroidetes,Unassigned
OTU4,Chloroflexi,Unassigned
OTU5,Elusimicrobia,Unassigned
OTU6,Firmicutes,Unassigned
OTU7,Fusobacteria,Unassigned
OTU8,Nitrospirae,Unassigned
OTU9,Planctomycetes,Unassigned
OTU10,Proteobacteria,Unassigned
OTU11,Spirochaetes,Unassigned
OTU12,Tenericutes,Unassigned
OTU13,Verrucomicrobia,Unassigned
OTU14,Ascomycota,Fungi
OTU15,Basidiomycota,Fungi
OTU16,Arthropoda,Metazoa
OTU17,Chordata,Metazoa
OTU18,Mollusca,Metazoa
OTU19,Nematoda,Metazoa
OTU20,Rotifera,Metazoa
OTU21,Cercozoa,Unassigned
OTU22,Ciliophora,Unassigned
OTU23,Euglenozoa,Unassigned
OTU24,Heterolobosea,Unassigned
OTU25,Tubulinea,Unassigned
OTU26,Streptophyta,Viridiplantae
OTU27,Crenarchaeota,Archaea
OTU28,Nanoarchaeota,Archaea
OTU29,Thaumarchaeota,Archaea
OTU30,Acidobacteria,Bacteria
OTU31,Aquificae,Bacteria
OTU32,Armatimonadetes,Bacteria
OTU33,Balneolaeota,Bacteria
OTU34,Caldiserica,Bacteria
OTU35,Calditrichaeota,Bacteria
OTU36,Chlamydiae,Bacteria
OTU37,Chlorobi,Bacteria
OTU38,Chrysiogenetes,Bacteria
OTU39,Cyanobacteria,Bacteria
OTU40,Deferribacteres,Bacteria
OTU41,Fibrobacteres,Bacteria
OTU42,Gemmatimonadetes,Bacteria
OTU43,Ignavibacteriae,Bacteria
OTU44,Kiritimatiellaeota,Bacteria
OTU45,Lentisphaerae,Bacteria
OTU46,Nitrospinae,Bacteria
OTU47,Rhodothermaeota,Bacteria
OTU48,Synergistetes,Bacteria
OTU49,Thermodesulfobacteria,Bacteria
OTU50,Thermotogae,Bacteria
OTU51,Annelida,Eukaryota
OTU52,Apicomplexa,Eukaryota
OTU53,Bacillariophyta,Eukaryota
OTU54,Blastocladiomycota,Eukaryota
OTU55,Brachiopoda,Eukaryota
OTU56,Bryozoa,Eukaryota
OTU57,Chlorophyta,Eukaryota
OTU58,Chromerida,Eukaryota
OTU59,Chytridiomycota,Eukaryota
OTU60,Cnidaria,Eukaryota
OTU61,Colponemidia,Eukaryota
OTU62,Cryptomycota,Eukaryota
OTU63,Echinodermata,Eukaryota
OTU64,Entoprocta,Eukaryota
OTU65,Entorrhizomycota,Eukaryota
OTU66,Euglenida,Eukaryota
OTU67,Eustigmatophyceae,Eukaryota
OTU68,Gastrotricha,Eukaryota
OTU69,Gnathostomulida,Eukaryota
OTU70,Haplosporidia,Eukaryota
OTU71,Hemichordata,Eukaryota
OTU72,Microsporidia,Eukaryota
OTU73,Mucoromycota,Eukaryota
OTU74,Phaeophyceae,Eukaryota
OTU75,Picozoa,Eukaryota
OTU76,Pinguiophyceae,Eukaryota
OTU77,Placozoa,Eukaryota
OTU78,Platyhelminthes,Eukaryota
OTU79,Porifera,Eukaryota
OTU80,Priapulida,Eukaryota
OTU81,Tardigrada,Eukaryota
OTU82,Xanthophyceae,Eukaryota
OTU83,Xenacoelomorpha,Eukaryota
OTU84,Zoopagomycota,Eukaryota
OTU85,Parvarchaeota,Archaea
OTU86,Caldithrix,Bacteria
OTU87,Thermi,Bacteria
OTU88,Dictyoglomi,Bacteria
