OTU,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU1,Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,arboriphilus
OTU2,Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,filiformis
OTU3,Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,oralis
OTU4,Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,smithii
OTU5,Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,woesei
OTU6,Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,wolinii
OTU7,Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,cuniculi
OTU8,Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,stadtmanae
OTU9,Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,marburgensis
OTU10,Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,wolfeii
OTU11,Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,paludicola
OTU12,Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,labreanum
OTU13,Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,boonei
OTU14,Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,formicica
OTU15,Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanosphaerula,palustris
OTU16,Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,hungatei
OTU17,Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,lacunae
OTU18,Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,psychrodurum
OTU19,Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,stamsii
OTU20,Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,barkeri
OTU21,Bacteria,Bacteria,,,,,Vermiphilus,pyriformis
OTU22,Bacteria,Bacteria,Acidobacteria,,,,Luteitalea,pratensis
OTU23,Bacteria,Bacteria,Acidobacteria,,,,Thermoanaerobaculum,aquaticum
OTU24,Bacteria,Bacteria,Acidobacteria,Blastocatellia,,,Aridibacter,famidurans
OTU25,Bacteria,Bacteria,Acidobacteria,Blastocatellia,,Pyrinomonadaceae,Pyrinomonas,methylaliphatogenes
OTU26,Bacteria,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix,fermentans
OTU27,Bacteria,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Holophaga,foetida
OTU28,Bacteria,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Bryobacteraceae,Paludibaculum,fermentans
OTU29,Bacteria,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,ferrooxidans
OTU30,Bacteria,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Aquihabitans,daechungensis
OTU31,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum,suis
OTU32,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,graevenitzii
OTU33,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,howellii
OTU34,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,nasicola
OTU35,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,oris
