OTU,phylum,kingdom
OTU1,Crenarchaeota,Archaea
OTU2,Euryarchaeota,Archaea
OTU3,Thaumarchaeota,Archaea
OTU4,Acidobacteria,Bacteria
OTU5,Actinobacteria,Bacteria
OTU6,Armatimonadetes,Bacteria
OTU7,Bacteroidetes,Bacteria
OTU8,Caldiserica,Bacteria
OTU9,Calditrichaeota,Bacteria
OTU10,Chlamydiae,Bacteria
OTU11,Chlorobi,Bacteria
OTU12,Chloroflexi,Bacteria
OTU13,Cyanobacteria,Bacteria
OTU14,Elusimicrobia,Bacteria
OTU15,Fibrobacteres,Bacteria
OTU16,Firmicutes,Bacteria
OTU17,Fusobacteria,Bacteria
OTU18,Gemmatimonadetes,Bacteria
OTU19,Ignavibacteriae,Bacteria
OTU20,Kiritimatiellaeota,Bacteria
OTU21,Nitrospinae,Bacteria
OTU22,Nitrospirae,Bacteria
OTU23,Planctomycetes,Bacteria
OTU24,Proteobacteria,Bacteria
OTU25,Spirochaetes,Bacteria
OTU26,Synergistetes,Bacteria
OTU27,Tenericutes,Bacteria
OTU28,Thermotogae,Bacteria
OTU29,Verrucomicrobia,Bacteria
OTU30,Annelida,Eukaryota
OTU31,Apicomplexa,Eukaryota
OTU32,Arthropoda,Eukaryota
OTU33,Ascomycota,Eukaryota
OTU34,Bacillariophyta,Eukaryota
OTU35,Basidiomycota,Eukaryota
OTU36,Blastocladiomycota,Eukaryota
OTU37,Chlorophyta,Eukaryota
OTU38,Chordata,Eukaryota
OTU39,Chytridiomycota,Eukaryota
OTU40,Cnidaria,Eukaryota
OTU41,Colponemidia,Eukaryota
OTU42,Cryptomycota,Eukaryota
OTU43,Euglenida,Eukaryota
OTU44,Mollusca,Eukaryota
OTU45,Mucoromycota,Eukaryota
OTU46,Nematoda,Eukaryota
OTU47,Phaeophyceae,Eukaryota
OTU48,Platyhelminthes,Eukaryota
OTU49,Porifera,Eukaryota
OTU50,Rotifera,Eukaryota
OTU51,Streptophyta,Eukaryota
OTU52,Tardigrada,Eukaryota
OTU53,Xenacoelomorpha,Eukaryota
OTU54,Aquificae,Bacteria
OTU55,Balneolaeota,Bacteria
OTU56,Chrysiogenetes,Bacteria
OTU57,Deferribacteres,Bacteria
OTU58,Lentisphaerae,Bacteria
OTU59,Thermodesulfobacteria,Bacteria
OTU60,Brachiopoda,Eukaryota
OTU61,Echinodermata,Eukaryota
OTU62,Haplosporidia,Eukaryota
OTU63,Picozoa,Eukaryota
OTU64,Zoopagomycota,Eukaryota
OTU65,Nanoarchaeota,Archaea
OTU66,Dictyoglomi,Bacteria
OTU67,Parvarchaeota,Archaea
OTU68,Caldithrix,Bacteria
OTU69,Thermi,Bacteria
OTU70,Poribacteria,Bacteria
OTU71,Cercozoa,Unassigned
OTU72,Ciliophora,Unassigned
OTU73,Euglenozoa,Unassigned
OTU74,Tubulinea,Unassigned
