OTU,phylum,kingdom
OTU1,Thaumarchaeota,Unassigned
OTU2,Acidobacteria,Unassigned
OTU3,Actinobacteria,Unassigned
OTU4,Armatimonadetes,Unassigned
OTU5,Bacteroidetes,Unassigned
OTU6,Balneolaeota,Unassigned
OTU7,Caldiserica,Unassigned
OTU8,Chlorobi,Unassigned
OTU9,Chloroflexi,Unassigned
OTU10,Elusimicrobia,Unassigned
OTU11,Fibrobacteres,Unassigned
OTU12,Firmicutes,Unassigned
OTU13,Fusobacteria,Unassigned
OTU14,Gemmatimonadetes,Unassigned
OTU15,Ignavibacteriae,Unassigned
OTU16,Kiritimatiellaeota,Unassigned
OTU17,Nitrospirae,Unassigned
OTU18,Planctomycetes,Unassigned
OTU19,Proteobacteria,Unassigned
OTU20,Spirochaetes,Unassigned
OTU21,Synergistetes,Unassigned
OTU22,Tenericutes,Unassigned
OTU23,Verrucomicrobia,Unassigned
OTU24,Ascomycota,Fungi
OTU25,Arthropoda,Metazoa
OTU26,Rotifera,Metazoa
OTU27,Cercozoa,Unassigned
OTU28,Ciliophora,Unassigned
OTU29,Euglenozoa,Unassigned
OTU30,Tubulinea,Unassigned
OTU31,Streptophyta,Viridiplantae
OTU32,Euryarchaeota,Unassigned
OTU33,Chlamydiae,Unassigned
OTU34,Coprothermobacterota,Unassigned
OTU35,Cyanobacteria,Unassigned
OTU36,Deferribacteres,Unassigned
OTU37,Lentisphaerae,Unassigned
OTU38,Basidiomycota,Fungi
OTU39,Cryptomycota,Fungi
OTU40,Chordata,Metazoa
OTU41,Gastrotricha,Metazoa
OTU42,Mollusca,Metazoa
OTU43,Nematoda,Metazoa
OTU44,Apicomplexa,Unassigned
OTU45,Discosea,Unassigned
OTU46,Endomyxa,Unassigned
OTU47,Evosea,Unassigned
OTU48,Fornicata,Unassigned
OTU49,Haptista,Unassigned
OTU50,Preaxostyla,Unassigned
OTU51,Rhodophyta,Unassigned
OTU52,Chlorophyta,Viridiplantae
OTU53,Thermotogae,Bacteria
OTU54,Crenarchaeota,Archaea
OTU55,Calditrichaeota,Bacteria
OTU56,Dictyoglomi,Bacteria
OTU57,Euglenida,Eukaryota
OTU58,Annelida,Eukaryota
