assembly_run_ids,study_id
ERR2586215,MGYS00002383
ERR2586216,MGYS00002383
ERR2586217,MGYS00002383
ERR2586218,MGYS00002383
ERR2586219,MGYS00002383
ERR2586220,MGYS00002383
ERR2683114,MGYS00003139
ERR2683115,MGYS00003139
ERR2683118,MGYS00003139
ERR2683121,MGYS00003139
ERR2683124,MGYS00003139
ERR2683128,MGYS00003139
ERR2683129,MGYS00003139
ERR2683133,MGYS00003139
ERR2683136,MGYS00003139
ERR2683137,MGYS00003139
ERR2683138,MGYS00003139
ERR2683140,MGYS00003139
ERR2683141,MGYS00003139
ERR2683143,MGYS00003139
ERR2683144,MGYS00003139
ERR2683145,MGYS00003139
ERR2683146,MGYS00003139
ERR2683147,MGYS00003139
ERR2683160,MGYS00003139
ERR2683170,MGYS00003139
ERR2683172,MGYS00003139
ERR2683173,MGYS00003139
ERR2683174,MGYS00003139
ERR2683177,MGYS00003139
ERR2683179,MGYS00003139
ERR2683186,MGYS00003139
ERR2683188,MGYS00003139
ERR2683189,MGYS00003139
ERR2683191,MGYS00003139
ERR2683192,MGYS00003139
ERR2683193,MGYS00003139
ERR2683194,MGYS00003139
ERR2683195,MGYS00003139
ERR2683196,MGYS00003139
ERR2683199,MGYS00003139
ERR2683200,MGYS00003139
ERR2683203,MGYS00003139
ERR2683204,MGYS00003139
ERR2683205,MGYS00003139
ERR2683208,MGYS00003139
ERR2683211,MGYS00003139
ERR2683213,MGYS00003139
ERR2683214,MGYS00003139
ERR2683215,MGYS00003139
ERR2683218,MGYS00003139
ERR2683219,MGYS00003139
ERR2683220,MGYS00003139
ERR2683221,MGYS00003139
ERR2683222,MGYS00003139
ERR2683223,MGYS00003139
ERR2683225,MGYS00003139
ERR2683227,MGYS00003139
ERR2683228,MGYS00003139
ERR2683231,MGYS00003139
ERR2683232,MGYS00003139
ERR2683233,MGYS00003139
ERR2683238,MGYS00003139
ERR2683241,MGYS00003139
ERR2683244,MGYS00003139
ERR2683245,MGYS00003139
ERR2683246,MGYS00003139
ERR2683249,MGYS00003139
ERR2683251,MGYS00003139
ERR2683252,MGYS00003139
ERR2683254,MGYS00003139
ERR2683255,MGYS00003139
ERR2683257,MGYS00003139
ERR2683259,MGYS00003139
