OTU,phylum,kingdom
OTU1,Crenarchaeota,Archaea
OTU2,Euryarchaeota,Archaea
OTU3,Thaumarchaeota,Archaea
OTU4,Acidobacteria,Bacteria
OTU5,Actinobacteria,Bacteria
OTU6,Aquificae,Bacteria
OTU7,Armatimonadetes,Bacteria
OTU8,Bacteroidetes,Bacteria
OTU9,Balneolaeota,Bacteria
OTU10,Caldiserica,Bacteria
OTU11,Calditrichaeota,Bacteria
OTU12,Chlamydiae,Bacteria
OTU13,Chlorobi,Bacteria
OTU14,Chloroflexi,Bacteria
OTU15,Chrysiogenetes,Bacteria
OTU16,Cyanobacteria,Bacteria
OTU17,Deferribacteres,Bacteria
OTU18,Elusimicrobia,Bacteria
OTU19,Fibrobacteres,Bacteria
OTU20,Firmicutes,Bacteria
OTU21,Fusobacteria,Bacteria
OTU22,Gemmatimonadetes,Bacteria
OTU23,Ignavibacteriae,Bacteria
OTU24,Kiritimatiellaeota,Bacteria
OTU25,Lentisphaerae,Bacteria
OTU26,Nitrospinae,Bacteria
OTU27,Nitrospirae,Bacteria
OTU28,Planctomycetes,Bacteria
OTU29,Proteobacteria,Bacteria
OTU30,Spirochaetes,Bacteria
OTU31,Synergistetes,Bacteria
OTU32,Tenericutes,Bacteria
OTU33,Thermodesulfobacteria,Bacteria
OTU34,Thermotogae,Bacteria
OTU35,Verrucomicrobia,Bacteria
OTU36,Annelida,Eukaryota
OTU37,Apicomplexa,Eukaryota
OTU38,Arthropoda,Eukaryota
OTU39,Ascomycota,Eukaryota
OTU40,Bacillariophyta,Eukaryota
OTU41,Basidiomycota,Eukaryota
OTU42,Brachiopoda,Eukaryota
OTU43,Chlorophyta,Eukaryota
OTU44,Chordata,Eukaryota
OTU45,Cryptomycota,Eukaryota
OTU46,Echinodermata,Eukaryota
OTU47,Euglenida,Eukaryota
OTU48,Haplosporidia,Eukaryota
OTU49,Mollusca,Eukaryota
OTU50,Mucoromycota,Eukaryota
OTU51,Nematoda,Eukaryota
OTU52,Phaeophyceae,Eukaryota
OTU53,Picozoa,Eukaryota
OTU54,Platyhelminthes,Eukaryota
OTU55,Rotifera,Eukaryota
OTU56,Streptophyta,Eukaryota
OTU57,Tardigrada,Eukaryota
OTU58,Zoopagomycota,Eukaryota
OTU59,Caldithrix,Bacteria
OTU60,Dictyoglomi,Bacteria
OTU61,Thermi,Bacteria
OTU62,Parvarchaeota,Archaea
