assembly_run_ids,study_id,Crenarchaeota,Euryarchaeota,Thaumarchaeota,Acidobacteria,Actinobacteria,Armatimonadetes,Bacteroidetes,Caldiserica,Calditrichaeota,Chlamydiae,Chlorobi,Chloroflexi,Cyanobacteria,Elusimicrobia,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Nitrospinae,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thermotogae,Verrucomicrobia,Annelida,Apicomplexa,Arthropoda,Ascomycota,Bacillariophyta,Basidiomycota,Blastocladiomycota,Chlorophyta,Chordata,Chytridiomycota,Cnidaria,Colponemidia,Cryptomycota,Euglenida,Mollusca,Mucoromycota,Nematoda,Phaeophyceae,Platyhelminthes,Porifera,Rotifera,Streptophyta,Tardigrada,Xenacoelomorpha,Aquificae,Balneolaeota,Chrysiogenetes,Deferribacteres,Lentisphaerae,Thermodesulfobacteria,Brachiopoda,Echinodermata,Haplosporidia,Picozoa,Zoopagomycota,Nanoarchaeota,Dictyoglomi,Parvarchaeota,Caldithrix,Thermi,Poribacteria,Cercozoa,Ciliophora,Euglenozoa,Tubulinea
ERR2586215,MGYS00002383,0,3,32,519,2040,442,674,0,0,4,0,1109,144,2,0,22,0,26,63,4,1,242,1100,8815,13,1,0,0,120,0,1,3,1,0,0,0,0,0,0,1,1,8,7,0,0,1,0,0,0,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR2586216,MGYS00002383,0,2,43,645,2184,494,726,0,0,2,0,1068,144,3,0,22,1,29,66,6,0,291,1115,9407,6,1,0,1,139,0,0,3,0,0,0,0,0,0,1,0,1,16,6,0,0,0,0,0,0,39,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR2586217,MGYS00002383,2,6,36,689,2305,564,851,0,0,3,0,1205,157,2,0,35,0,35,94,5,0,307,1299,10972,8,0,0,0,181,0,1,4,0,0,0,0,0,1,0,0,0,15,12,0,1,0,0,0,0,69,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR2586218,MGYS00002383,0,1,0,244,325,15,4855,0,0,22,0,672,40,8,5,145,7,90,2,18,0,144,225,10009,8,3,0,0,352,8,2,2,10,1,4,0,3,4,7,1,0,5,0,1,3,11,1,0,2,0,4,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR2586219,MGYS00002383,0,2,0,202,298,11,5740,0,0,22,1,746,30,2,8,160,13,83,8,10,0,179,241,11517,19,0,8,0,428,2,2,4,12,4,1,1,4,1,9,1,0,17,0,0,1,15,0,1,0,4,12,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR2586220,MGYS00002383,0,8,0,163,293,13,5213,2,1,13,0,658,38,2,8,148,0,95,3,19,1,193,221,9048,16,1,0,0,374,0,5,1,10,5,1,1,3,4,7,1,0,10,0,0,0,8,0,0,1,2,11,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR2729815,MGYS00001910,0,0,0,136,2007,2,27719,0,0,0,38,35,223,4,229,2150,1123,60,55,10,0,2,132,150569,51,242,5,0,367,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR2729816,MGYS00001910,0,0,0,140,388,5,17875,0,0,1,137,15,154,2,99,992,529,120,188,7,0,0,100,94942,80,91,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR2729817,MGYS00001910,0,0,0,157,1828,1,26591,0,0,0,42,35,209,0,209,2058,1064,55,58,3,0,0,113,143932,61,265,3,0,339,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR2729818,MGYS00001910,0,0,0,129,284,4,14847,0,0,0,113,18,147,2,81,806,437,108,122,10,0,0,104,75640,70,94,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR2729819,MGYS00001910,0,0,0,133,1800,6,25257,0,0,0,34,38,156,0,189,1825,969,47,60,5,0,1,122,140217,45,213,3,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
