assembly_run_ids,study_id,Euryarchaeota,Acidobacteria,Armatimonadetes,Bacteroidetes,Caldiserica,Chloroflexi,Elusimicrobia,Firmicutes,Gemmatimonadetes,Ignavibacteriae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thermotogae,Verrucomicrobia,Actinobacteria,Chlamydiae,Cyanobacteria,Fusobacteria,Cryptomycota,Nematoda,Calditrichaeota,Crenarchaeota,Parvarchaeota,Caldithrix,Chlorobi,Deferribacteres,Fibrobacteres,Lentisphaerae,Nitrospirae,Thermi,Aquificae
OFEK01,MGYS00002316,10,1,1,12,2,2,2,8,1,5,1,9,6,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ724020,MGYS00003512,10,3,0,23,6,12,0,37,0,3,6,33,11,6,0,2,2,12,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0
ERZ795017,MGYS00004898,0,2,0,0,0,9,0,0,0,0,2,11,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ERR977407,MGYS00001392,1,24,1,43,0,85,0,32,6,0,26,181,1,0,0,0,8,126,0,0,0,0,0,0,0,0,0,11,0,1,0,9,0,0
ERR977409,MGYS00001392,3,81,3,163,1,324,0,114,21,0,71,604,0,1,0,0,11,555,0,4,2,0,0,0,0,0,0,42,0,0,0,57,0,0
ERR977410,MGYS00001392,5,26,2,116,0,169,0,105,10,0,24,273,3,0,0,0,9,176,2,6,0,0,0,0,0,0,0,23,0,0,0,21,0,0
ERR977423,MGYS00001392,10,313,5,547,0,1252,3,426,86,0,192,2042,3,0,2,0,85,1113,9,12,3,0,0,0,0,2,0,160,0,2,0,176,0,0
ERR977424,MGYS00001392,3,318,22,649,0,3265,8,709,67,0,339,2676,18,3,2,0,131,2557,52,40,10,0,0,0,0,4,1,166,0,0,0,249,0,0
ERR977425,MGYS00001392,63,391,16,1830,0,2777,28,1667,160,0,343,14077,82,4,15,1,365,3723,140,179,20,0,0,0,0,28,0,205,0,0,3,217,1,0
ERR977403,MGYS00001392,0,1,0,0,0,0,0,2,0,0,99,1211,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2845,0,0
ERR977404,MGYS00001392,0,0,0,0,0,0,0,3,0,0,111,1431,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,2266,0,0
ERR977405,MGYS00001392,0,0,0,0,0,0,0,5,0,0,166,2867,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,3928,0,0
ERR977406,MGYS00001392,0,0,0,0,0,0,0,3,0,0,71,1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1690,0,0
ERR977411,MGYS00001392,10,71,8,552,0,502,1,57,26,0,117,1403,12,2,0,0,42,94,9,17,0,0,0,0,0,3,0,7,1,0,0,23,0,0
ERR977415,MGYS00001392,14,175,10,249,0,1369,2,239,11,0,201,1923,5,0,0,0,22,793,16,10,1,0,0,0,0,0,0,41,0,6,0,166,0,0
ERR977417,MGYS00001392,0,434,40,297,0,218,71,11,132,0,305,4473,21,0,0,0,196,165,37,3,0,0,0,0,303,4,0,52,0,0,0,3483,0,0
ERR977421,MGYS00001392,11,184,28,5274,0,209,12,22,44,0,149,29105,10,0,9,0,150,630,17,57,0,0,0,0,50,7,1,65,0,0,0,1328,3,0
ERR1352952,MGYS00000777,360,342,25,3776,0,362,0,13055,12,0,408,806252,2053,1,25,1,310,1836,66,849,10,0,0,0,0,0,7,141,1,6,0,210,1990,0
ERR1352953,MGYS00000777,11,209,9,1388,0,431,1,561,12,0,223,9510,987,2,3,7,117,1057,50,180,14,0,0,0,0,0,1,68,0,0,1,46,1,0
ERR1352956,MGYS00000777,3877,38,1,766,46,1222,0,20558,14,0,51,617119,920,129,13,317,910,1698,0,26,24,0,0,0,14,0,0,25,0,82,8,11,32,0
ERR1352957,MGYS00000777,25,195,6,2387,3,654,1,742,41,0,223,11649,773,4,4,4,218,938,27,190,41,0,0,0,0,0,1,60,0,2,2,181,3,0
ERR1352959,MGYS00000777,1,7,1,7531,0,112,0,3342,3,0,8,22534,6,0,31,0,85,1043,1,15,82,0,0,0,0,0,1,1,0,40,0,0,3,1
ERR1352962,MGYS00000777,27,33,3,619,0,140,0,4352,10,0,35,305909,688,1,9,0,63,1122,2,190,15,0,0,0,0,1,0,19,0,16,0,38,104,0
ERR1352903,MGYS00000777,3,71,2,709,1,57,0,367,7,0,97,4081,1277,0,0,0,72,517,31,210,39,0,0,0,0,0,0,35,0,1,0,9,2,0
ERR1352906,MGYS00000777,229,500,93,3746,4,639,8,37821,89,0,473,2859807,1596,19,55,1,288,10167,29,460,95,0,0,0,5,0,19,150,1,16,0,798,751,0
ERR1352908,MGYS00000777,3977,149,25,1735,46,1636,0,27803,27,0,143,1460061,2933,129,31,320,992,3894,9,377,56,0,0,0,14,0,4,94,0,83,8,208,81,0
ERR1352909,MGYS00000777,0,67,1,1427,4,193,2,377,54,0,120,3818,1796,0,3,0,96,1016,31,138,16,0,0,0,0,0,1,36,0,1,0,34,1,0
ERR1352932,MGYS00000777,29,147,8,894,0,96,0,40938,25,0,98,1239105,2006,3,29,0,59,2829,42,191,10,0,0,0,0,0,2,59,0,15,0,60,21,0
ERR1352934,MGYS00000777,7,47,5,773,0,152,0,5812,10,0,31,340540,546,0,9,0,28,1941,10,472,18,0,0,0,0,0,2,30,0,2,0,39,26,0
