assembly_run_ids,study_id,Euryarchaeota,Acidobacteria,Actinobacteria,Armatimonadetes,Bacteroidetes,Balneolaeota,Caldiserica,Chlamydiae,Chloroflexi,Coprothermobacterota,Cyanobacteria,Deferribacteres,Elusimicrobia,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Lentisphaerae,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Verrucomicrobia,Ascomycota,Basidiomycota,Cryptomycota,Arthropoda,Chordata,Gastrotricha,Mollusca,Nematoda,Rotifera,Apicomplexa,Cercozoa,Ciliophora,Discosea,Endomyxa,Euglenozoa,Evosea,Fornicata,Haptista,Preaxostyla,Rhodophyta,Tubulinea,Chlorophyta,Streptophyta,Crenarchaeota,Parvarchaeota,Aquificae,Caldithrix,Chlorobi,Chrysiogenetes,Dictyoglomi,Thermi,Thermotogae,Calditrichaeota,Annelida,Bacillariophyta,Chytridiomycota,Cnidaria,Euglenida,Microsporidia,Mucoromycota,Phaeophyceae,Platyhelminthes,Porifera,Tardigrada,Zoopagomycota
ERZ3455818,MGYS00005846,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455794,MGYS00005846,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455798,MGYS00005846,3,0,8,0,5,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,34,0,0,1,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455802,MGYS00005846,1,0,4,0,11,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455814,MGYS00005846,4,3,3,0,16,0,1,0,3,0,0,1,2,0,22,0,0,0,4,0,0,0,43,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455822,MGYS00005846,0,0,4,0,5,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,13,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455826,MGYS00005846,0,0,1,0,10,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455854,MGYS00005846,1,0,10,0,12,1,0,0,0,0,0,0,1,0,36,2,0,0,0,0,0,0,37,0,0,0,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455795,MGYS00005846,0,1,0,0,16,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,25,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455805,MGYS00005846,0,0,0,0,13,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
