assembly_run_ids,study_id,Euryarchaeota,Actinobacteria,Bacteroidetes,Chloroflexi,Elusimicrobia,Firmicutes,Fusobacteria,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Tenericutes,Verrucomicrobia,Ascomycota,Basidiomycota,Arthropoda,Chordata,Mollusca,Nematoda,Rotifera,Cercozoa,Ciliophora,Euglenozoa,Heterolobosea,Tubulinea,Streptophyta,Crenarchaeota,Nanoarchaeota,Thaumarchaeota,Acidobacteria,Aquificae,Armatimonadetes,Balneolaeota,Caldiserica,Calditrichaeota,Chlamydiae,Chlorobi,Chrysiogenetes,Cyanobacteria,Deferribacteres,Fibrobacteres,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Lentisphaerae,Nitrospinae,Rhodothermaeota,Synergistetes,Thermodesulfobacteria,Thermotogae,Annelida,Apicomplexa,Bacillariophyta,Blastocladiomycota,Brachiopoda,Bryozoa,Chlorophyta,Chromerida,Chytridiomycota,Cnidaria,Colponemidia,Cryptomycota,Echinodermata,Entoprocta,Entorrhizomycota,Euglenida,Eustigmatophyceae,Gastrotricha,Gnathostomulida,Haplosporidia,Hemichordata,Microsporidia,Mucoromycota,Phaeophyceae,Picozoa,Pinguiophyceae,Placozoa,Platyhelminthes,Porifera,Priapulida,Tardigrada,Xanthophyceae,Xenacoelomorpha,Zoopagomycota,Parvarchaeota,Caldithrix
ERZ1505396,MGYS00005614,1,16,8,0,0,30,0,0,1,26,0,1,1,3,2,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ1505397,MGYS00005614,1,12,10,0,1,28,2,0,0,26,0,2,1,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ1505398,MGYS00005614,1,18,30,0,0,51,0,0,0,36,0,1,1,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ1505399,MGYS00005614,1,13,10,0,0,36,1,0,0,32,0,2,1,1,0,2,1,0,5,1,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ1505401,MGYS00005614,0,12,29,0,0,56,0,0,1,47,0,2,3,2,0,6,0,1,11,0,0,3,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ1505400,MGYS00005614,1,11,5,1,0,56,0,0,0,34,0,3,2,1,3,2,0,1,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ1505402,MGYS00005614,0,20,24,1,0,79,2,1,1,56,1,7,1,1,0,6,0,1,8,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ1505403,MGYS00005614,1,11,19,0,0,69,0,0,1,39,0,2,2,3,0,0,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR2683114,MGYS00003139,544,6851,2007,177,7,18916,96,0,114,30105,52,160,509,66,15,486,6,3,182,49,0,0,0,0,0,175,0,0,3,48,0,4,0,0,2,44,0,0,17,0,17,4,23,31,0,0,0,729,0,0,3,8,2,0,0,0,38,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0
ERR2683115,MGYS00003139,45,1842,1868,64,1,1154,207,1,135,17586,25,22,528,25,7,3955,1,0,170,92,0,0,0,0,0,230,0,1,0,74,0,4,0,16,0,29,0,0,84,3,3,46,32,14,1,0,0,37,0,0,2,4,59,0,0,0,539,0,11,0,0,7,0,0,0,6,34,31,0,0,0,7,2,1,0,0,0,2,0,0,0,3,0,0,0,0
