sample_id,sample_name,biosample,sample_description,latitude,longitude,geolocation,biome,biome_feature,biome_material,assembly_run_ids,study_id
ERS2488841,CROATIA1,SAMEA4668225,Croatian wastewater treatment sludge,45.7897,16.0823,Croatia,Sludge,Wastewater treatment plant,sludge,ERR2586215,MGYS00002383
ERS2488842,CROATIA2,SAMEA4668226,Croatian wastewater treatment sludge,45.7897,16.0823,Croatia,Sludge,Wastewater treatment plant,sludge,ERR2586216,MGYS00002383
ERS2488843,CROATIA3,SAMEA4668227,Croatian wastewater treatment sludge,45.7897,16.0823,Croatia,Sludge,Wastewater treatment plant,sludge,ERR2586217,MGYS00002383
ERS2488844,CROATIA4,SAMEA4668228,Croatian wastewater treatment sludge,45.7897,16.0823,Croatia,Sludge,Wastewater treatment plant,sludge,ERR2586218,MGYS00002383
ERS2488845,CROATIA5,SAMEA4668229,Croatian wastewater treatment sludge,45.7897,16.0823,Croatia,Sludge,Wastewater treatment plant,sludge,ERR2586219,MGYS00002383
ERS2488846,CROATIA6,SAMEA4668230,Croatian wastewater treatment sludge,45.7897,16.0823,Croatia,Sludge,Wastewater treatment plant,sludge,ERR2586220,MGYS00002383
ERS2597319,DTU2017_MG_100_EC_GA,SAMEA4777371,DTU2017_MG_100_EC_GA,-0.908,-89.6029,Ecuador,,,,ERR2683114,MGYS00003139
ERS2597320,DTU2017_MG_101_MW_KA,SAMEA4777372,DTU2017_MG_101_MW_KA,-13.051,33.8039,Malawi,,,,ERR2683115,MGYS00003139
ERS2597323,DTU2017_MG_104_MW_BL,SAMEA4777375,DTU2017_MG_104_MW_BL,-15.4703,35.02,Malawi,,,,ERR2683118,MGYS00003139
ERS2597326,DTU2017_MG_107_NG_IL_a,SAMEA4777378,DTU2017_MG_107_NG_IL_a,8.4804,4.6739,Nigeria,,,,ERR2683121,MGYS00003139
ERS2597329,DTU2017_MG_110_NG_IL_d,SAMEA4777381,DTU2017_MG_110_NG_IL_d,8.4808,4.672,Nigeria,,,,ERR2683124,MGYS00003139
ERS2597333,DTU2017_MG_114_NG_IB_a,SAMEA4777385,DTU2017_MG_114_NG_IB_a,7.4419,3.8966,Nigeria,,,,ERR2683128,MGYS00003139
ERS2597334,DTU2017_MG_115_NG_IB_b,SAMEA4777386,DTU2017_MG_115_NG_IB_b,7.4419,3.8966,Nigeria,,,,ERR2683129,MGYS00003139
ERS2597338,DTU2017_MG_119_NI_MS,SAMEA4777390,DTU2017_MG_119_NI_MS,11.9842,-86.1056,Nicaragua,,,,ERR2683133,MGYS00003139
ERS2597341,DTU2017_MG_121_EE_TA,SAMEA4777393,DTU2017_MG_121_EE_TA,58.34,26.7372,Estonia,,,,ERR2683136,MGYS00003139
ERS2597342,DTU2017_MG_122_EE_TL,SAMEA4777394,DTU2017_MG_122_EE_TL,59.466,24.7022,Estonia,,,,ERR2683137,MGYS00003139
ERS2597343,DTU2017_MG_123_EE_PR,SAMEA4777395,DTU2017_MG_123_EE_PR,58.3871,24.4537,Estonia,,,,ERR2683138,MGYS00003139
ERS2597345,DTU2017_MG_125_TH_PA,SAMEA4777397,DTU2017_MG_125_TH_PA,14.0697,100.6106,Thailand,,,,ERR2683140,MGYS00003139
ERS2597346,DTU2017_MG_126_GE_KU,SAMEA4777398,DTU2017_MG_126_GE_KU,42.2393,42.6758,Georgia,,,,ERR2683141,MGYS00003139
ERS2597348,DTU2017_MG_128_ZA_PR,SAMEA4777400,DTU2017_MG_128_ZA_PR,-25.7344,28.1779,South Africa,,,,ERR2683143,MGYS00003139
ERS2597349,DTU2017_MG_129_LU_LU,SAMEA4777401,DTU2017_MG_129_LU_LU,49.651,6.13,Luxembourg,,,,ERR2683144,MGYS00003139
ERS2597350,DTU2017_MG_12_MY_KG,SAMEA4777402,DTU2017_MG_12_MY_KG,3.0047,101.4342,Malaysia,,,,ERR2683145,MGYS00003139
ERS2597351,DTU2017_MG_130_IT_RO,SAMEA4777403,DTU2017_MG_130_IT_RO,41.8193,12.4281,Italy,,,,ERR2683146,MGYS00003139
ERS2597352,DTU2017_MG_131_KR_GW,SAMEA4777404,DTU2017_MG_131_KR_GW,35.1559,126.8355,South Korea,,,,ERR2683147,MGYS00003139
ERS2597365,DTU2017_MG_143_UG_KA,SAMEA4777417,DTU2017_MG_143_UG_KA,0.3193,32.6061,Uganda,,,,ERR2683160,MGYS00003139
ERS2597375,DTU2017_MG_152_NP_KA,SAMEA4777427,DTU2017_MG_152_NP_KA,27.7008,85.3001,Nepal,,,,ERR2683170,MGYS00003139
ERS2597377,DTU2017_MG_154_GT_GU,SAMEA4777429,DTU2017_MG_154_GT_GU,14.5786,-90.5594,Guatemala,,,,ERR2683172,MGYS00003139
ERS2597378,DTU2017_MG_155_LT_VI,SAMEA4777430,DTU2017_MG_155_LT_VI,54.7097,25.2212,Lithuania,,,,ERR2683173,MGYS00003139
ERS2597379,DTU2017_MG_156_KE_NA,SAMEA4777431,DTU2017_MG_156_KE_NA,-1.2561,37.0118,Kenya,,,,ERR2683174,MGYS00003139
ERS2597382,DTU2017_MG_159_MK_SK,SAMEA4777434,DTU2017_MG_159_MK_SK,41.9906,21.4758,Macedonia,,,,ERR2683177,MGYS00003139
ERS2597384,DTU2017_MG_160_GH_TA,SAMEA4777436,DTU2017_MG_160_GH_TA,9.4034,-0.8424,Ghana,,,,ERR2683179,MGYS00003139
ERS2597391,DTU2017_MG_167_LK_MA,SAMEA4777443,DTU2017_MG_167_LK_MA,6.9312,79.874,Sri Lanka,,,,ERR2683186,MGYS00003139
ERS2597393,DTU2017_MG_16_BR_BE,SAMEA4777445,DTU2017_MG_16_BR_BE,-1.4283,-48.4921,Brazil,,,,ERR2683188,MGYS00003139
ERS2597394,DTU2017_MG_17_US_PO,SAMEA4777446,DTU2017_MG_17_US_PO,45.5951,-122.7176,USA,,,,ERR2683189,MGYS00003139
ERS2597396,DTU2017_MG_19_MY_AS,SAMEA4777448,DTU2017_MG_19_MY_AS,5.6044,100.5436,Malaysia,,,,ERR2683191,MGYS00003139
ERS2597397,DTU2017_MG_1_TH_BK,SAMEA4777449,DTU2017_MG_1_TH_BK,13.7579,100.4859,Thailand,,,,ERR2683192,MGYS00003139
ERS2597398,DTU2017_MG_20_MY_PG,SAMEA4777450,DTU2017_MG_20_MY_PG,5.4356,100.3091,Malaysia,,,,ERR2683193,MGYS00003139
ERS2597399,DTU2017_MG_21_MY_IP,SAMEA4777451,DTU2017_MG_21_MY_IP,4.5975,101.0901,Malaysia,,,,ERR2683194,MGYS00003139
ERS2597400,DTU2017_MG_22_MY_PB,SAMEA4777452,DTU2017_MG_22_MY_PB,5.438,100.3882,Malaysia,,,,ERR2683195,MGYS00003139
ERS2597401,DTU2017_MG_23_JP_JP,SAMEA4777453,DTU2017_MG_23_JP_JP,36.2048,138.2529,Japan,,,,ERR2683196,MGYS00003139
